target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
Lictoria,0012440101,B,P0012440101OMS402SIMAGE1000.FTZ,15.748812419856502,0.013546710669473515,15.748812419856502,0.013546710669473515,17.57344737923385,0.21059532861037022,14058.75790338708,168.4762628882962,22362.025918584317,39.83782169977824,4.5056150917500375,8303.268015197236,65.04753212504005,208.4267578125,492.3896484375,19.081,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1412457443241295,10.379085018996545,27.952532398230396,31.90070864256279,21.521623623566246,21.521623623566246,15.29,15.8928,20.148102
Lictoria,0012440101,B,P0012440101OMS403SIMAGE1000.FTZ,15.742121889388237,0.013787904849320944,15.742121889388237,0.013787904849320944,17.010746801432237,0.1997759579566762,13608.59744114579,159.82076636534094,20747.185865152627,38.808210587083245,4.328368820327415,7138.588424006836,58.70412544738424,183.9453125,469.798828125,19.081,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1790664814158085,8.923235530008546,25.93398233144078,30.577889296631625,21.654653766623078,21.654653766623078,15.29,15.8928,20.148102
Flagstaff,0804250301,B,P0804250301OMS007FSIMAGB000.FTZ,16.13908417842592,0.01740954809043033,16.13908417842592,0.01740954809043033,4.960487064257025,0.14503930986658237,24802.435321285127,725.1965493329119,175877.46341887116,306.7835665866061,20.738950653694715,151075.02809758604,460.2216806122247,492.4482421875,754.5654296875,19.081,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.2860755138238158,30.21500561951721,35.17549268377424,45.23833982729082,15.023334207773612,15.023334207773612,17.51,18.1128,21.041977
Lucubratio,0110980101,B,P0110980101OMS402SIMAGE1000.FTZ,17.47137194738928,0.02928900664317753,17.47137194738928,0.02928900664317753,2.423727502633683,0.0961213434183451,4847.455005267366,192.2426868366902,24469.90121921152,89.67138640597834,6.4186796247969085,19622.446213944153,94.95007907699568,218.826171875,568.2392578125,19.081,8.0,6.0,0.0,1.0,1.0,1.0,0.0,1.040023993536333,0.03604147021385073,/Users/eracero/workspace/tfm-viu/results/batch_B/elena/c1corr/c1_details_Lucubratio_P0110980101OMS402SIMAGE1000.csv,1.101998901955428,15.943237548829625,18.463972305362553,20.347277206244964,4.404039657415339,4.404039657415339,17.14,17.7428,20.673128
Asteropaios,0803161101,B,P0803161101OMS403SIMAGE1000.FTZ,18.79718230550016,0.0695931108153539,18.79718230550016,0.0695931108153539,1.1394380023903552,0.07846878949825686,1025.4942021513198,70.62191054843117,3672.3456493970007,24.703560847821443,3.110525203909467,2646.851447245681,32.19724625830284,107.14453125,398.90234375,19.081,13.0,6.000000000000001,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0390444950127853,2.940946052495201,4.080384054885556,4.239700589766784,1.298754537271583,1.298754537271583,18.04,18.6428,20.414433
Gurzhij,0744490401,B,P0744490401OMS427SIMAGE2000.FTZ,17.816501533343445,0.05153562220612406,17.816501533343445,0.05153562220612406,0.8358176233968976,0.1216796433818968,1788.649714069361,260.39443683725915,40201.031623125076,95.44027824589772,6.5485484382067725,38412.381909055715,131.3756309804515,402.4755859375,671.509765625,19.081,13.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.126106163909143,17.94971117245594,18.78552879585284,21.154499769302586,3.204788596846644,3.204788596846644,18.26,18.8628,21.032633
Chrisclark,0670120401,B,P0670120401OMS409SIMAGE1000.FTZ,18.249100435829668,0.04241243351174745,18.249100435829668,0.04241243351174745,1.2080852966707871,0.07309798542798976,4542.400715482159,274.8484252092415,43682.85141251981,127.80881372537104,8.257838406648153,39140.45069703765,144.5103288370855,306.2421875,582.6875,19.081,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0812122679073863,10.409694334318523,11.617779630989311,12.561285862870191,2.151591528551668,2.151591528551668,18.13,18.7328,21.147049
Guericke,0691840101,B,P0691840101OMS409SIMAGE1000.FTZ,16.799485909248645,0.01429861659309825,16.799485909248645,0.01429861659309825,5.580471378861743,0.08505762705727085,27902.356894308716,425.28813528635425,97735.00385865569,190.60327449287337,12.006324464630458,69832.64696434698,229.81276556930587,366.376953125,638.1630859375,19.081,13.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1328463526329533,13.966529392869395,19.54700077173114,22.143748529169144,8.17721913629975,8.17721913629975,19.01,19.6128,21.214529
Guericke,0691840101,B,P0691840101OMS410SIMAGE1000.FTZ,16.881212901754637,0.014237068775774964,16.881212901754637,0.014237068775774964,5.510148256054204,0.08289162255658533,27550.741280271017,414.45811278292666,96933.39444093406,193.09940597095937,11.522607486003254,69382.65316066305,218.41665448160455,359.310546875,631.6708984375,19.081,13.0,5.999999999999998,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1069879043783521,13.87653063213261,19.386678888186815,21.460819035289965,7.584288403157355,7.584288403157355,19.01,19.6128,21.214529
Pluto,0793183801,B,P0793183801OMS052SIMAGE0000.FTZ,15.460368106906193,0.010422811324792326,15.460368106906193,0.010422811324792326,22.49383092222464,0.19700869848608774,22493.83092222464,197.00869848608772,31298.183433089405,56.07867841315137,5.947916740807557,8804.352510864766,74.52718314967949,157.0,444.923828125,19.081,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.1781840695713746,8.804352510864765,31.298183433089406,36.87502112738865,28.070668616523882,28.070668616523882,14.66,15.2628,20.252254
