slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,69,820.5173723224083,414.6518136083918,8.803132393091062,13.0,6.0,0.32053548816593574,0.6776887774467468,0.023750271648168564,0.6856745606138634,0.025931471576497743,0.9883533914981953,0.01271935782183771,P0781040101OMS007FSIMAGU000.FTZ,P0781040101OMS007SWSRLIU000.FTZ,0781040101,U,Barbara
2,33,986.1237095646757,315.4142530314178,10.803132393091062,13.0,6.0,0.32053548816593574,0.752861499786377,0.02444613166153431,0.8333099757469844,0.028512424025751392,0.9034591228930232,0.11022873089985247,P0781040101OMS007FSIMAGU000.FTZ,P0781040101OMS007SWSRLIU000.FTZ,0781040101,U,Barbara
3,70,814.9683365321015,295.97072829454413,7.803132393091062,13.0,6.0,0.32053548816593574,0.2518661320209503,0.021605361253023148,0.2543253581183817,0.02169600939983498,0.9903303936515576,0.010549730168156338,P0781040101OMS007FSIMAGU000.FTZ,P0781040101OMS007SWSRLIU000.FTZ,0781040101,U,Barbara
4,57,877.3355821981283,212.639789457625,13.803132393091062,13.0,6.0,0.32053548816593574,1.0163519382476807,0.025758231058716774,1.1250889882005963,0.03351600788931896,0.9033524893645759,0.11035688580191902,P0781040101OMS007FSIMAGU000.FTZ,P0781040101OMS007SWSRLIU000.FTZ,0781040101,U,Barbara
5,23,1035.1183025201394,816.2898869503824,25.80313239309106,13.0,6.0,0.32053548816593574,23.828502655029297,0.07755403220653534,25.68278270613408,0.0897838988248343,0.9278006564817485,0.08136331131103988,P0781040101OMS007FSIMAGU000.FTZ,P0781040101OMS007SWSRLIU000.FTZ,0781040101,U,Barbara
