slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,481.36453457546736,306.5395568333659,13.0,0.8812573105074599,12.0,13.0,6.000000000000001,1.9109213757518515,0.09165729247850252,1.9103361425951888,0.0950672672392654,0.9996937429430175,,P0793183801OMS050SIMAGE0000.FTZ,0793183801,V,Pluto
2,480.27280689212915,216.07899614383024,13.0,0.8812573105074599,12.0,13.0,6.000000000000001,1.075705729892436,0.08750170980897884,1.0730074890603298,0.09103728883518998,0.997491655238858,,P0793183801OMS050SIMAGE0000.FTZ,0793183801,V,Pluto
3,208.42460885832804,450.3216705394942,13.0,0.8812573105074599,12.0,13.0,6.000000000000001,0.6111686839111076,0.07918168999137801,0.6292369841619067,0.08257678593722699,1.0295635243206065,,P0793183801OMS050SIMAGE0000.FTZ,0793183801,V,Pluto
5,135.59567349353347,482.20976284795233,13.0,0.8812573105074599,12.0,13.0,6.000000000000001,0.888225503494654,0.07670230760873864,0.8880655077512847,0.0797411329297709,0.9998198703564131,,P0793183801OMS050SIMAGE0000.FTZ,0793183801,V,Pluto
