slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,182.65276915170824,315.288575777818,13.0,-0.9770466600841279,10.0,13.0,5.999999999999999,9.38984428953239,0.11649649875049876,9.456254894637011,0.12256352096565276,1.0070725991887486,,P0303670101OMS006SIMAGE1000.FTZ,0303670101,V,Seeligeria
2,135.60879233314836,336.5959993060035,13.0,-0.9770466600841279,10.0,13.0,5.999999999999999,1.8058464480902554,0.07523423894379926,1.8505906575429063,0.08347813014938119,1.024777416429824,,P0303670101OMS006SIMAGE1000.FTZ,0303670101,V,Seeligeria
3,191.11212339182447,161.66800219847386,13.0,-0.9770466600841279,10.0,13.0,5.999999999999999,24.42506783106095,0.1702512653007779,24.625948053983777,0.17523650854621284,1.0082243465734564,,P0303670101OMS006SIMAGE1000.FTZ,0303670101,V,Seeligeria
4,246.87002014293947,461.6317202842316,13.0,-0.9770466600841279,10.0,13.0,5.999999999999999,8.99043899310183,0.11645937129382569,9.090952850732403,0.12321606540941926,1.011180083387218,,P0303670101OMS006SIMAGE1000.FTZ,0303670101,V,Seeligeria
5,150.48750640387843,367.45668454158994,13.0,-0.9770466600841279,10.0,13.0,5.999999999999999,2.382469290021933,0.08137112852168106,2.407036443429138,0.08972722970735576,1.0103116348697947,,P0303670101OMS006SIMAGE1000.FTZ,0303670101,V,Seeligeria
