observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION,dra_arcsec,ddec_arcsec,trail_len_arcsec,pa_deg_E_of_N,frame_t1,frame_t2,exposure_s,skybot_radius_arcmin,sep_start_arcsec_from_frame_center,sep_end_arcsec_from_frame_center
0781040101,2014 OO212,50.173673750,0.574217778,50.179435417,0.570002222,L,2,21.610,,20.696785,P0781040101OMS008FSIMAGL000.FTZ,D,20.741,-15.176,25.700,126.193,2016-08-28T02:36:00.000,2016-08-28T03:51:00.000,4500.000,10.000,268.506,273.558
0781040101,Barbara,50.062230000,0.415034167,50.077020417,0.407858333,L,2,12.570,,20.696785,P0781040101OMS008FSIMAGL000.FTZ,D,53.244,-25.833,59.180,115.882,2016-08-28T02:36:00.000,2016-08-28T03:51:00.000,4500.000,10.000,437.411,438.233
0781040101,2023 FO49,50.159558333,0.382039444,50.164166667,0.379200000,L,2,23.690,,20.696785,P0781040101OMS008FSIMAGL000.FTZ,D,16.590,-10.222,19.486,121.640,2016-08-28T02:36:00.000,2016-08-28T03:51:00.000,4500.000,10.000,520.276,534.712
