band,n,c2_median,c2_mean,c2_std,c2_mad,r_small_arcsec,r_large_arcsec,ann_small_arcsec,ann_large_arcsec
UVW1,10,1.158512375118678,1.1858789640809038,0.31836586137271516,0.07437106077693292,6.0,35.0,6.0,10.0
UVW1,30,1.0517429552668995,1.035257244344208,0.16131994303184582,0.07342289623570339,6.0,35.0,6.0,10.0
