target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err,v_mag_1,v_mag_1_corrected,mlim_obs,tds_corr,c2,f_apcorr,c1,coi_factor,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,c1_err,c1_detail_csv,rate_bkg_6
Barbara,0781040101,L,P0781040101OMS008FSIMAGL000.FTZ,16.195976124947833,0.007065649882894205,8.873389594017645,0.05774540417361627,39930.2531730794,259.8543187812732,56638.62325552199,16.393405377944845,2.652892133895645,16708.370082442587,84.69388325222315,1019.212890625,1969.2099609375,18.5662,13.0,9.0,0.0,0.022410254497802155,16.218386379445636,0.5156962411896492,12.36,13.8442,20.696785,,,,,,,,,,,,
Barbara,0781040101,L,P0781040101OMS010FSIMAGL000.FTZ,16.23268049533012,0.007157401685229086,8.5784298043445,0.0565508262950061,38602.93411955025,254.47871832752745,54671.365034047514,16.978698047412184,2.76027066885203,16068.430914497261,84.91535177746533,946.3876953125,2371.5693359375,18.5662,13.0,11.0,0.0,0.11329370636161981,16.34597420169174,0.0959011391086119,12.36,13.8442,20.696785,,,,,,,,,,,,
Ada,0803030301,L,P0803030301OMS007FSIMAGL000.FTZ,19.73358849653677,0.13245483561067775,0.3412279534163493,0.04162825260977857,1023.6838602490479,124.88475782933571,9568.87829833664,20.15752106014051,3.0705933594154153,8545.194438087592,63.22148894892064,423.9208984375,834.525390625,18.5662,13.0,7.0,0.0,-0.04831350421800567,19.685274992318764,0.1593785912933048,16.18,17.6642,20.112686,,,,,,,,,,,,
Ada,0803030301,L,P0803030301OMS006FSIMAGL000.FTZ,19.25125170237053,0.06689860085571246,0.5320829210647195,0.03278476808215831,1596.2487631941585,98.35430424647491,6328.249502919614,20.308249996768104,3.2356006543935805,4732.000739725456,49.39023198208387,233.0087890625,627.42578125,18.5662,7.0,6.0,0.0,0.14677166258496985,19.398023364955503,0.1567129760058444,16.18,17.6642,20.112686,,,,,,,,,,,,
Aaltje,0302352401,L,P0302352401OMS404SIMAGE1000.FTZ,18.785072392081602,0.03816166449519481,0.8174308859950524,0.028731223077574128,3171.6318376608033,111.47714554098762,9357.044313432649,14.757299302403926,2.3137724539941935,6185.4124757718455,47.36979841704961,419.142578125,1138.34375,18.5662,13.0,9.0,0.0,0.2175767991783773,19.00264919125998,0.04553130830487847,14.8,16.2842,20.291054,,,,,,,,,,,,
Transvaalia,0821871601,L,P0821871601OMS006FSIMAGL000.FTZ,18.254943720914262,0.02484758043257343,1.3319947455517438,0.03048332796910311,6659.973727758719,152.41663984551556,16848.717980455607,21.127600865821314,3.138945574490147,10188.744252696888,68.93170556995021,482.248046875,1405.3310546875,18.5662,6.0,7.0,0.0,-0.015129937085271203,18.239813783828993,0.02560692979368122,15.22,16.7042,20.268137,,,,,,,,,,,,
Hilaritas,0821730101,L,P0821730101OMS006SIMAGE1000.FTZ,21.290516542830876,0.2831722187024257,0.08133423437414435,0.021212887482951245,292.80324374691963,76.36639493862448,3675.265179864131,15.307083895331935,2.60472724566145,3382.4619361172113,38.71974429721751,220.9736328125,503.98046875,18.5662,13.0,6.0,0.0,0.1304715275521271,21.420988070383004,0.28892471400786535,17.08,18.5642,20.059668,,,,,,,,,,,,
Hilaritas,0821730101,L,P0821730101OMS403SIMAGE1000.FTZ,20.57476136431929,0.1819697508931154,0.1572444965135335,0.026354235154661024,566.0801874487206,94.87524655677969,5936.609449906275,15.324017111081643,2.601343433256088,5370.529262457554,48.69898635628496,350.46484375,1199.1708984375,18.5662,13.0,10.0,0.0,0.027559706057668124,20.60232107037696,0.2476115229158104,17.08,18.5642,20.059668,,,,,,,,,,,,
Deflotte,0744500301,L,P0744500301OMS401SIMAGE2000.FTZ,19.411800690849944,0.05882455786042573,0.45894402871677314,0.024865325983431247,2019.353726353802,109.40743432709749,8280.095589101315,21.418619156997895,3.0018212393771395,6260.741862747513,51.32181308326997,292.3037109375,729.1044921875,18.5662,7.0,6.0,0.0,0.0434480990480513,19.455248789897997,0.07750315759240752,16.55,18.0342,20.455608,,,,,,,,,,,,
Deflotte,0744500301,L,P0744500301OMS007SIMAGE2000.FTZ,19.55425854776796,0.1002709565735626,0.40250991324835944,0.03717299051680583,1465.1360842240283,135.30968548117323,11528.260725284927,21.30541230659852,3.2139994658670425,10063.124641060898,69.85013576887347,472.3271484375,1211.998046875,18.5662,13.0,9.0,0.0,0.0017538403946628506,19.556012388162625,0.10329548611856301,16.55,18.0342,20.455608,,,,,,,,,,,,
