A_ap_eff_35,A_ap_eff_6,A_bg_eff_35,A_bg_eff_6,aper_sum_35,aper_sum_6,band,bkg_per_pix_35,bkg_per_pix_6,bkg_rms_per_pix_35,bkg_rms_per_pix_6,c2,err35,err6,exptime_35,exptime_6,ftz,rate35,rate6,slot,snr35,snr6,theta_rad,unit_kind_35,unit_kind_6,width_pix,x,y
1898.0,338.0,2380.0,612.0,40002.280447406694,8990.167432196438,UVW1,19.71330777727904,20.12406038702204,2.9058378509927536,3.025239427710889,1.1819673210862072,0.05221493126383952,0.023507751403971617,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.5878232468479705,0.4973261412234065,1,11.257761575472122,21.155836331474205,0.0,counts,counts,26.0,416.72001558242926,261.02128317233957
1898.0,338.0,2380.0,612.0,37745.63244603388,7365.580400109291,UVW1,19.401800238440416,19.129107030680483,2.8286926960055143,2.715645721481991,1.023416358493689,0.050746914707963664,0.021249994144500836,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.2093217257895396,0.20453232357711076,2,4.124816789240016,9.625053173487133,0.0,counts,counts,26.0,451.33907135734376,337.3367090781454
1898.0,338.0,2380.0,612.0,38113.47630571574,7675.952974185348,UVW1,19.452889481736552,19.83028233185243,2.8199137042863227,2.8661892174635626,1.2245665088998807,0.05089570266176866,0.021810463736979147,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.27088456122267335,0.22120853318618774,3,5.3223464272191645,10.142312233881286,0.0,counts,counts,26.0,379.77028570240424,442.57307106336793
1898.0,338.0,2380.0,612.0,38675.094873055816,7679.10230931174,UVW1,19.69485945635677,19.64605196540275,2.934654412017232,2.8657596227750353,1.2459861761063231,0.051681761109335894,0.021813648424059185,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.29414809656606106,0.23607653295582043,4,5.6915261835557995,10.822423116320227,0.0,counts,counts,26.0,278.2339502252471,459.27098056209854
1898.0,338.0,2380.0,612.0,47704.82638788223,16012.448437221348,UVW1,20.284850975068938,20.764063825674935,2.9499355952355804,2.916256214785211,1.0233466559519742,0.056075365678656126,0.030151151657995926,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,2.09185891754577,2.0441351963961867,5,37.30441865565918,67.79625599654642,0.0,counts,counts,26.0,138.31737773965116,299.17530688975984
1898.0,338.0,2380.0,612.0,41405.547047406435,9938.88377609849,UVW1,19.978609045239963,20.087335204008085,2.992473385409501,2.958808507999613,1.1069366867002526,0.0532807037843814,0.024449648091212143,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.7923061544411327,0.7157646538963085,6,14.870414580998606,29.275049326929718,0.0,counts,counts,26.0,412.9899234470034,170.5272150800212
1898.0,338.0,2279.5,612.0,81552.96100139618,48520.45249462128,UVW1,20.295590100923906,22.081622097021313,3.1607328094242617,3.346525879742181,1.0481056408290446,0.07090800086910427,0.051129317517321776,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,9.77998431587332,9.331105505870017,7,137.92497596889115,182.50009894438335,0.0,counts,counts,26.0,545.9944026573719,428.9864783999776
1898.0,338.0,2380.0,612.0,43375.536523878574,11213.390115827322,UVW1,20.355286726220626,20.464029320977755,3.0479436983877553,2.9598817603797576,1.1034910097418824,0.05446820367387,0.025761958010572367,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,1.077545981252687,0.9764882284856455,8,19.78302768537266,37.904270633657106,0.0,counts,counts,26.0,270.0317272080478,126.99462248919514
1898.0,338.0,2257.4345703125,612.0,37551.1703711506,7606.039497103542,UVW1,19.287134892472597,19.545566786861286,2.9168128634928303,3.084554074425531,0.9445303378123143,0.051389713440057876,0.022013961572462236,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.2145882602812741,0.22719043707827888,9,4.175704550903454,10.320288619131441,0.0,counts,counts,26.0,125.03207353290787,485.41799300209533
2190.0,390.0,2460.0,660.0,53094.21309475228,14069.420373558998,UVW1,21.218980993365495,21.807321151305118,3.083983259121934,2.9579769950910877,1.1905053802057115,0.06082978696089175,0.02882496684442711,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,1.5056010725640556,1.2646738919431826,10,24.75104957267113,43.87425313509733,0.0,counts,counts,30.0,190.2931637553493,347.4428030308757
2190.0,390.0,2460.0,660.0,45221.09288260341,9110.767800152302,UVW1,20.418804835740413,20.054678848455843,3.0548474135553305,2.7897940246688098,0.3907968580878627,0.057232696826918124,0.023732740755815395,4400.0,4400.0,/Users/eracero/workspace/tfm-viu/temp/c2_ftz/P0700182001OMS008SIMAGE0000.FTZ,0.1145250664390683,0.29305523846693693,11,2.0010426345173373,12.34814139176604,0.0,counts,counts,30.0,162.57912580874694,198.5048932780466
