observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0803161101,Asteropaios,159.3042,-2.5558047,159.30394,-2.567429,L,2,18.04,19.5242,19.633095,P0803161101OMS411SIMAGE1000.FTZ,D
0300240101,Mucha,139.65082,16.330862,139.72375,16.316349,L,2,17.62,19.1042,20.044724,P0300240101OMS008SIMAGE0000.FTZ,D
0501270301,The,98.4076,17.725702,98.443306,17.726965,L,2,17.44,18.9242,20.213562,P0501270301OMS007FSIMAGL000.FTZ,D
0302580701,Chesneau,326.4374,4.212535,326.50232,4.446862,L,4,16.43,17.9142,20.226696,P0302580701OMS405SIMAGE1000.FTZ,D
0302580701,Chesneau,326.4374,4.212535,326.50232,4.446862,L,4,16.43,17.9142,20.226696,P0302580701OMS007SIMAGE1000.FTZ,D
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,L,2,18.26,19.7442,20.221659,P0744490401OMS434SIMAGE2000.FTZ,D
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,L,2,18.13,19.6142,20.369955,P0670120401OMS413SIMAGE1000.FTZ,D
0760646601,1991 CS,256.18265,-47.787766,255.81529,-49.09465,L,3,16.9,18.3842,20.476788,,N
0201902401,Richardbaum,312.04135,-17.95731,312.1351,-17.939861,L,2,17.67,19.1542,19.90227,P0201902401OMS404SIMAGE1000.FTZ,D
0412592501,1996 UT,83.76607,21.908499,83.77202,21.908983,L,2,17.97,19.4542,19.299034,P0412592501OMS006FSIMAGL000.FTZ,D
0692330401,Ivanka,112.18933,33.894558,112.34965,33.930218,L,2,17.66,19.1442,20.75167,P0692330401OMS007FSIMAGL000.FTZ,D
0728980201,Olausgutho,151.68561,12.850109,151.87369,12.78802,L,2,19.61,21.0942,20.190025,,N
0148880101,Pesonen,143.07808,-11.071041,143.15459,-11.05193,L,2,18.93,20.4142,21.114185,P0148880101OMS408SIMAGE2000.FTZ,D
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,19.01,20.4942,20.335546,P0691840101OMS413SIMAGE1000.FTZ,Y
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,L,3,19.01,20.4942,20.335546,P0691840101OMS414SIMAGE1000.FTZ,Y
0784401201,Jepejacobsen,126.58924,26.702383,126.680244,26.69026,L,2,17.43,18.9142,20.241419,P0784401201OMS006FSIMAGL000.FTZ,D
0303561001,Fredtreasure,192.5848,-23.538895,192.62386,-23.529533,L,2,16.43,17.9142,20.256231,P0303561001OMS007SIMAGE0000.FTZ,Y
0673002347,1981 EX26,351.8393,-0.87859577,352.49908,-0.5885451,L,3,18.71,20.1942,19.929981,,N
0801681001,1991 SK2,267.35052,-30.198545,267.41754,-30.179098,L,2,18.58,20.0642,20.259472,,N
0605990501,1998 FZ52,272.32047,-19.705824,272.3333,-19.702621,L,2,18.91,20.3942,19.66558,,N
0677610140,1998 MN16,30.132433,-4.5725913,30.39163,-4.238744,L,4,17.95,19.4342,19.809097,,N
