slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,171,299.0242742912093,779.684342345003,5.557940866816061,13.0,8.0,-0.6396251592105956,0.02654595486819744,0.005292010959237814,0.03680427568365058,0.009236002728322187,0.7212736665808057,0.3547498086050146,P0151390101OMS012FSIMAGL000.FTZ,P0151390101OMS012SWSRLIL000.FTZ,0151390101,L,2000 PD7
2,186,189.84727375543724,739.4905459799562,11.557940866816061,13.0,8.0,-0.6396251592105956,0.624839186668396,0.015342667698860168,0.7042492139969909,0.017308339155068422,0.8872415818856217,0.12989528132586384,P0151390101OMS012FSIMAGL000.FTZ,P0151390101OMS012SWSRLIL000.FTZ,0151390101,L,2000 PD7
3,185,198.4924844562106,659.1640941621066,12.557940866816061,13.0,8.0,-0.6396251592105956,0.20979315042495728,0.012208940461277962,0.23700005646545086,0.014955097568834841,0.8852029554496763,0.13239286188074922,P0151390101OMS012FSIMAGL000.FTZ,P0151390101OMS012SWSRLIL000.FTZ,0151390101,L,2000 PD7
4,153,390.6574173417272,874.8462831386532,10.557940866816061,13.0,8.0,-0.6396251592105956,0.2889065444469452,0.012779575772583485,0.3074832325295172,0.014211628647529798,0.9395847118890013,0.06766014575422977,P0151390101OMS012FSIMAGL000.FTZ,P0151390101OMS012SWSRLIL000.FTZ,0151390101,L,2000 PD7
