slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,2,741.5117471233932,148.57613589447362,7.520485156020715,13.0,8.0,-2.1495112717080964,0.25340697169303894,0.02692064642906189,0.266885786149814,0.027489783545875026,0.949495944871306,0.05626721429417571,P0112370801OMS416SIMAGE1000.FTZ,P0112370801OMS416SWSRLI1000.FTZ,0112370801,L,1998 MM7
2,3,625.6690367227949,155.19962908372054,6.0,13.0,8.0,-2.1495112717080964,0.07136278599500656,0.013019583187997341,0.08269619533703695,0.020712458017793325,0.862951260383384,0.16003433152397664,P0112370801OMS416SIMAGE1000.FTZ,P0112370801OMS416SWSRLI1000.FTZ,0112370801,L,1998 MM7
3,4,359.2870462294833,191.93202017698883,9.520485156020715,13.0,8.0,-2.1495112717080964,0.09873024374246597,0.0136517733335495,0.13251152803303307,0.026178776982614786,0.7450690910292277,0.31950863201697705,P0112370801OMS416SIMAGE1000.FTZ,P0112370801OMS416SWSRLI1000.FTZ,0112370801,L,1998 MM7
4,11,156.33073856369253,362.6488171022187,9.520485156020715,13.0,8.0,-2.1495112717080964,0.21609435975551605,0.02106906846165657,0.23915953223053515,0.028145704675055883,0.90355737753833,0.11011065934292437,P0112370801OMS416SIMAGE1000.FTZ,P0112370801OMS416SWSRLI1000.FTZ,0112370801,L,1998 MM7
