family,N,mean_V,mean_UVW1_AB,mean_UVW1_minus_V,std_UVW1_minus_V,sem_UVW1_minus_V,weighted_mean_UVW1_minus_V,weighted_mean_UVW1_minus_V_err
C,2,17.895,19.585956690067515,1.690956690067516,0.38104530001659576,0.26943971558099733,1.7387351722597506,0.043694711665524286
X,2,16.755000000000003,18.821719654769414,2.066719654769413,0.38115686087474626,0.2695186010203105,1.8324272627766751,0.028607270921445615
D,1,16.43,18.466301485268417,2.0363014852684174,nan,nan,2.0363014852684174,0.042686544548812
L,1,12.36,14.417471524664506,2.057471524664507,nan,nan,2.057471524664507,0.003699066753438994
OTHER,1,15.63,21.577970531741318,5.947970531741317,nan,nan,5.947970531741317,0.2749125251217766
UNK,4,16.885,18.332184539500243,1.4471845395002418,2.0517661336716317,1.0258830668358159,-0.5910611540020071,0.007906903568802191
