target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
Barbara,0781040101,U,P0781040101OMS007FSIMAGU000.FTZ,14.394509260721101,0.00515578962198832,14.475872572032142,0.04329396598416835,45.378159248960806,0.13620249972379686,195443.7318852742,586.6241663103931,252778.7611640133,58.96011751782413,7.200252034132821,57335.0292787391,224.53215654096343,972.4375,1197.6494140625,19.189,13.0,6.0,0.0,1.0,1.0,0.9278006564817485,0.08136331131103988,1.0,0.0,,1.6368562652502754,13.312056948859787,58.69021619782059,96.06744809229583,82.75539114343604,76.78050623028383,12.36,13.1039,21.136883
Barbara,0781040101,U,P0781040101OMS006FSIMAGU000.FTZ,14.441829466134184,0.005310166357475619,14.52820825714829,0.061324010467764825,44.27884056224937,0.1398982826282615,177115.3622489975,559.593130513046,229440.12106591463,55.390206463905415,7.00447111138016,52324.75881691715,215.28435691781135,944.6572265625,1171.9990234375,19.189,13.0,6.0,0.0,1.0,1.0,0.9235246325917732,0.08637879101410584,1.0,0.0,,1.609261319366256,13.081189704229287,57.36003026647866,92.30727798552182,79.22608828129253,73.16724407166407,12.36,13.1039,21.136883
Seeligeria,0303670101,U,P0303670101OMS405SIMAGE1000.FTZ,21.577970531741318,0.2749125251217766,21.577970531741318,0.2749125251217766,0.09244927939129412,0.027334209407548726,147.91884702607058,43.73473505207796,1358.966460458003,16.851647725972263,2.5380752801532744,1211.0476134319324,21.516118248233454,71.865234375,366.3349609375,19.189,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0215670677792352,0.7569047583949577,0.8493540377862518,0.867672113887755,0.11076735549279726,0.11076735549279726,15.63,16.3739,20.33347
Potomac,0674480401,U,P0674480401OMS403SIMAGE1000.FTZ,18.027201053749103,0.02959047787332232,18.027201053749103,0.02959047787332232,2.723101852066496,0.07441554037852745,2723.1018520664957,74.41554037852745,4579.789328448474,14.093549212132851,2.3537142292588005,1856.6874763819785,27.0154961992866,131.740234375,421.6201171875,19.189,13.0,6.000000000000001,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0420198375925862,1.8566874763819785,4.5797893284484745,4.772231332238139,2.9155438558561606,2.9155438558561606,16.23,16.9739,19.880312
Tampere,0740920301,U,P0740920301OMS402SIMAGE1000.FTZ,19.616238255789725,0.11190586400782666,19.616238255789725,0.11190586400782666,0.5712136525529804,0.06644052959879451,571.2136525529804,66.44052959879451,2911.870878873393,15.373577667005135,2.708089875167851,2340.6572263204125,33.415234231813194,152.251953125,440.537109375,19.189,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0355362621202757,2.3406572263204124,2.9118708788733927,3.015347885685435,0.6746906593650226,0.6746906593650226,17.28,18.0239,19.80576
The,0501270301,U,P0501270301OMS006FSIMAGU000.FTZ,20.36546272268005,0.17144277146771514,20.36546272268005,0.17144277146771514,0.27058535091052266,0.05124647142584201,348.5139319727532,66.0054551964845,2986.3187213297933,20.26036681894396,2.834667340000179,2637.80478935704,32.34445026329471,130.1953125,420.0791015625,19.189,13.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0292432849176292,2.0479850849045342,2.3185704358150567,2.386373051671188,0.33838796676665384,0.33838796676665384,17.44,18.1839,19.959929
Chesneau,0302580701,U,P0302580701OMS404SIMAGE1000.FTZ,18.600079344169487,0.05203188308625662,18.600079344169487,0.05203188308625662,1.4483708745548125,0.07729970024522442,2027.7192243767377,108.21958034331419,7983.090668990277,14.919535259756094,2.418339650017017,5955.371444613539,48.316345254185855,399.166015625,668.5048828125,19.189,13.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0476634380236027,4.253836746152528,5.70220762070734,5.97399444023464,1.7201576940821122,1.7201576940821122,16.43,17.1739,20.268064
Chrisclark,0670120401,U,P0670120401OMS007SIMAGE1000.FTZ,19.942171499351286,0.08311028618405766,19.942171499351286,0.08311028618405766,0.3204887003303848,0.029107945916312213,769.1728807929235,69.85907019914931,3279.3968900535256,31.984538056925274,4.107890954368656,2510.224009260602,36.391931365569846,78.482421875,375.8857421875,19.189,6.0,6.0,0.0,1.0,1.0,1.0,0.0,1.2569823491969927,0.23289589273261077,/Users/eracero/workspace/tfm-viu/results/batch_U/elena/c1corr/c1_details_Chrisclark_P0670120401OMS007SIMAGE1000.csv,1.0362967009174575,2.26617445280471,2.6690230922370883,2.7658998251578057,0.49972537235309566,0.49972537235309566,18.13,18.8739,20.41104
Chrisclark,0670120401,U,P0670120401OMS405SIMAGE1000.FTZ,20.221603805299612,0.07819398556281833,20.221603805299612,0.07819398556281833,0.30242148619878284,0.026615923710118904,725.8115668770788,63.878216904285374,2902.018982252106,31.009078166314534,3.7637746248944834,2176.2074153750273,31.530388721232274,70.1796875,378.6875,19.189,5.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.0315448115854284,2.357558033322946,2.6599795195217286,2.7438880722861403,0.3863300389631945,0.3863300389631945,18.13,18.8739,20.41104
Ivanka,0692330401,U,P0692330401OMS006FSIMAGU000.FTZ,19.08151697448652,0.06812865397942978,19.101693644444467,0.09367557069820907,0.54676921256885,0.06186102205804197,2187.0768502754,247.44408823216787,33626.088151074946,51.636992283403934,5.154546799032846,31439.011300799546,127.18750793581584,608.8466796875,862.00390625,19.189,13.0,6.0,0.0,1.0,1.0,0.9815882069290445,0.02017666995794601,1.0,0.0,,1.0662928311745397,7.859752825199886,8.406522037768736,8.963814183983587,1.1040613587837012,1.0837336095081376,17.66,18.4039,20.670336
