slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,123.9932777218979,175.50739948020538,13.0,-1.5316007248678425,9.0,13.0,6.0,17.72063516132482,0.12791593547107608,17.961699500237014,0.13041392378763197,1.0136035947198052,,P0793183801OMS070SIMAGE0000.FTZ,0793183801,L,Pluto
2,165.21237981847094,203.30009899738417,13.0,-1.5316007248678425,9.0,13.0,6.0,6.0645173059674145,0.07711635710807094,6.165095908638234,0.07969966118058672,1.0165847663707466,,P0793183801OMS070SIMAGE0000.FTZ,0793183801,L,Pluto
3,127.92493554510077,119.06315610110147,13.0,-1.5316007248678425,9.0,13.0,6.0,10.41116108138905,0.09896482383002345,10.550253886025558,0.10130066797387242,1.0133599704729523,,P0793183801OMS070SIMAGE0000.FTZ,0793183801,L,Pluto
4,510.9476245483511,443.2088818309537,13.0,-1.5316007248678425,9.0,13.0,6.0,1.2447476829474318,0.040226418950599044,1.2823887426631184,0.04380047100924017,1.0302399114546303,,P0793183801OMS070SIMAGE0000.FTZ,0793183801,L,Pluto
5,181.49544705515873,259.79926110730673,13.0,-1.5316007248678425,9.0,13.0,6.0,1.3310571569703653,0.042251974781910166,1.4118069338678119,0.04660431765834926,1.0606658973843333,,P0793183801OMS070SIMAGE0000.FTZ,0793183801,L,Pluto
