slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,529.6522796133962,404.426791535058,13.0,0.033507007780865704,6.0,13.0,5.999999999999998,11.659372555350446,0.06425774590878751,12.356677485802189,0.06859705473447314,1.05980638556161,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
2,573.4235906604623,468.39315071040943,13.0,0.033507007780865704,6.0,13.0,5.999999999999998,0.9682179335464713,0.0231153255437722,1.0493262922529891,0.029093119660870356,1.0837707667832872,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
3,379.0146012787187,594.171858167621,13.0,0.033507007780865704,6.0,13.0,5.999999999999998,4.560257609539117,0.041520213490120784,4.834974159240714,0.04568221003246623,1.0602414541509555,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
4,587.6270865810538,679.9984310569317,13.0,0.033507007780865704,6.0,13.0,5.999999999999998,0.4458845383465929,0.01849213241884409,0.4583612916655103,0.024565574273638684,1.0279820272871159,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
5,346.2484870533154,629.7498743836464,13.0,0.033507007780865704,6.0,13.0,5.999999999999998,1.4720576405500285,0.02616751481509813,1.5677736369852586,0.0312853302391085,1.0650219079732952,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
1,628.0234721765183,428.27989497260654,13.0,0.018262809512162217,7.0,13.0,5.999999999999998,7.416059707019121,0.05239160448166745,7.757993138523169,0.056039534032309886,1.0461071573062466,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
2,573.4235906604623,468.39315071040943,13.0,0.018262809512162217,7.0,13.0,5.999999999999998,0.9850498801268551,0.024040932175224943,1.0494116540569562,0.02908563860243053,1.0653385937388395,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
3,379.0146012787187,594.171858167621,13.0,0.018262809512162217,7.0,13.0,5.999999999999998,4.656764539318921,0.04233614684489047,4.835685862109432,0.04567773060168456,1.0384218100957878,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
4,92.21514809979175,904.9912470170113,13.0,0.018262809512162217,7.0,13.0,5.999999999999998,2.4229661343338944,0.03212530321066708,2.5066679756622277,0.0357945605145905,1.0345451965433037,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
5,223.52527450056942,831.0269725543567,13.0,0.018262809512162217,7.0,13.0,5.999999999999998,4.644308403514002,0.04234313091662468,4.789124880335554,0.04567889194588221,1.0311814944743936,,P0803030301OMS007FSIMAGL000.FTZ,0803030301,L,Ada
