slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,967.7262734861389,932.7230410943889,13.0,-0.18974264803173915,9.0,13.0,6.0,8.946588198985042,0.051291865590014245,9.05271128392984,0.052934380784464975,1.0118618497447818,,P0801681301OMS007FSIMAGL000.FTZ,0801681301,L,Brouwer
2,820.4913190040226,869.0131150653656,13.0,-0.18974264803173915,9.0,13.0,6.0,2.8931092366546496,0.031846108124253196,2.946579543455791,0.03402528921808229,1.0184819522621862,,P0801681301OMS007FSIMAGL000.FTZ,0801681301,L,Brouwer
3,743.8327218224358,817.9844737894549,13.0,-0.18974264803173915,9.0,13.0,6.0,1.8280124741273533,0.027051530115361547,1.8565104038586335,0.029515467752514617,1.0155895707138893,,P0801681301OMS007FSIMAGL000.FTZ,0801681301,L,Brouwer
4,602.0996661422716,872.1751377350665,13.0,-0.18974264803173915,9.0,13.0,6.0,2.853362102792066,0.031660118114847945,2.9185892424996402,0.03390622907923089,1.0228597483802522,,P0801681301OMS007FSIMAGL000.FTZ,0801681301,L,Brouwer
5,1006.5436282810106,591.6384021489523,13.0,-0.18974264803173915,9.0,13.0,6.0,3.6224817320889633,0.03532573490234955,3.6605252437923013,0.0376678434126975,1.0105020575718402,,P0801681301OMS007FSIMAGL000.FTZ,0801681301,L,Brouwer
