slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,164.85280883376328,203.29960770154037,13.0,1.6188362596426578,10.0,13.0,5.999999999999999,6.067623169158942,0.07757795278581349,6.124251746534906,0.07939528107351922,1.00933290941069,,P0793183801OMS072SIMAGE0000.FTZ,0793183801,L,Pluto
2,123.41021329421653,175.39477210546403,13.0,1.6188362596426578,10.0,13.0,5.999999999999999,17.790064758212072,0.12840855654673358,17.96051257400879,0.13018817819528225,1.0095810677540134,,P0793183801OMS072SIMAGE0000.FTZ,0793183801,L,Pluto
3,127.52757823482304,119.0701805048545,13.0,1.6188362596426578,10.0,13.0,5.999999999999999,10.349587322440357,0.09903361810623418,10.433959371357213,0.10064643397221763,1.0081522138311658,,P0793183801OMS072SIMAGE0000.FTZ,0793183801,L,Pluto
4,512.3147423985056,442.33208191862195,13.0,1.6188362596426578,10.0,13.0,5.999999999999999,1.2247093091856849,0.040859813014566655,1.299633477440936,0.044012123515945044,1.0611771035733113,,P0793183801OMS072SIMAGE0000.FTZ,0793183801,L,Pluto
5,404.9673549114499,458.27864972918223,13.0,1.6188362596426578,10.0,13.0,5.999999999999999,1.6834812397108287,0.045891687760932776,1.6866008513769015,0.048189595744760776,1.0018530718326322,,P0793183801OMS072SIMAGE0000.FTZ,0793183801,L,Pluto
