slot,x,y,width_pix,theta_rad,height_h_pix,height6_pix,semi_out_pix,rate_h,rate_h_err,rate6,rate6_err,c1,c1_err,fits_name,obs_id,filter,target
1,271.519179508173,519.0920379861034,13.0,-1.3718693390440544,8.0,13.0,6.0,0.5133512018652122,0.017218369683879384,0.5317142522399808,0.019842249035990734,1.0357709309105505,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
2,345.3889584785712,586.7944806007044,13.0,-1.3718693390440544,8.0,13.0,6.0,0.20368269152562174,0.013791802469926144,0.2118659150577896,0.016730240094474644,1.040176332465336,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
3,146.94498994274622,165.3903000843115,13.0,-1.3718693390440544,8.0,13.0,6.0,4.171291961698238,0.039198986411764634,4.284823422767809,0.04099325798747474,1.0272173374848952,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
4,181.12359498205353,229.80596235370302,13.0,-1.3718693390440544,8.0,13.0,6.0,2.4186355558153005,0.030846909427734052,2.455911128058349,0.032710528976733995,1.0154118185161978,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
5,256.7211587048513,128.56883970933092,13.0,-1.3718693390440544,8.0,13.0,6.0,0.8166660954127868,0.019923284453315575,0.839951273571431,0.022187293769164312,1.0285124829957275,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
1,146.94498994274622,165.3903000843115,13.0,1.7981679124722971,6.0,13.0,5.9999999999999964,4.0221148806677105,0.03804561882955061,4.284787406777029,0.040988292745389426,1.0653070670288045,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
2,162.59109768430304,288.5541539220917,13.0,1.7981679124722971,6.0,13.0,5.9999999999999964,0.6082288579461027,0.017185197851720544,0.653499141086877,0.020837103325707797,1.0744296863743776,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
3,256.7211587048513,128.56883970933092,13.0,1.7981679124722971,6.0,13.0,5.9999999999999964,0.7839887809595286,0.018792062299606626,0.8399015017750071,0.02218463632565663,1.071318266502547,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
4,231.50517442602305,381.2898796098228,13.0,1.7981679124722971,6.0,13.0,5.9999999999999964,6.0282037632451395,0.046112967492738896,6.371553747432617,0.04898461816909626,1.0569572625067742,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
5,227.93471987493254,466.74726539239316,13.0,1.7981679124722971,6.0,13.0,5.9999999999999964,1.8736393390714214,0.02682204079716333,1.9860225554730833,0.02971464449483084,1.0599812429522104,,P0302580701OMS405SIMAGE1000.FTZ,0302580701,L,Chesneau
