family,N,mean_UVW1_minus_V,median_UVW1_minus_V,std_UVW1_minus_V,sem_UVW1_minus_V,percentile_scatter_UVW1_minus_V
C,1,0.07023199098401907,0.07023199098401907,nan,nan,nan
V,1,-0.25106213519552856,-0.25106213519552856,nan,nan,nan
UNK,2,-0.4971259768081584,-0.4971259768081584,0.5651545574669763,0.3996246200033813,0.2717447416022993
