"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0164570401";"1998 QN30";229.01411;-16.056402;229.29297;-16.143436;U;2;19.08;19.8239;20.078388
"0206340101";Onioshidashi;133.22516;16.150879;133.34258;16.099432;U;2;19.12;19.8639;20.18153
"0206060201";Alfredfowler;145.102;14.821389;145.21744;14.776098;U;2;19.17;19.9139;20.522253
"0780760201";"1999 TW207";42.33431;42.2853;42.590015;42.18258;U;4;19.18;19.9239;20.598068
"0672720101";Peterwisse;122.04476;20.886232;122.22666;20.854963;U;2;19.22;19.9639;20.694849
"0651450101";Loschmidt;268.32962;-27.779692;268.55115;-27.77536;U;3;19.29;20.0339;20.01726
"0200730301";Schommer;20.24715;3.7326322;20.335382;3.7652805;U;4;19.31;20.0539;20.036541
"0740920201";"1998 VW34";190.00467;-5.2815495;190.0631;-5.306633;U;2;19.34;20.0839;19.78788
"0305970101";"1999 NQ41";270.95087;-27.765928;271.5013;-27.7238;U;3;19.42;20.1639;20.852262
"0305970101";Amandasickafoose;271.1018;-27.759047;271.54745;-27.69044;U;3;19.43;20.1739;20.852262
"0402070301";Henrylin;200.15645;-11.736624;200.41628;-11.835991;U;2;19.48;20.2239;20.569902
"0112550601";Mizutani;187.48732;7.927202;187.49948;7.9126673;U;2;19.49;20.2339;19.903584
"0803910401";Erneschiller;183.57365;2.61025;183.75514;2.573968;U;2;19.52;20.2639;20.62654
"0206990701";Oobayashiarata;257.32748;-23.668993;257.3839;-23.670527;U;2;19.59;20.3339;20.31332
"0728980201";Olausgutho;151.68561;12.850109;151.87369;12.78802;U;2;19.61;20.3539;20.375982
"0801830101";Vladichaika;245.42366;-23.07612;245.59413;-23.13193;U;2;19.63;20.3739;20.074585
"0655090432";"1999 RL89";315.74164;-18.431547;315.84045;-18.371767;U;2;19.71;20.4539;20.715212
"0655090401";"1999 RL89";315.74298;-18.4305;315.8404;-18.371792;U;4;19.71;20.4539;20.98271
"0655090431";"1999 RL89";315.74164;-18.431547;315.84045;-18.371767;U;4;19.71;20.4539;20.709661
"0783670101";Patrickdufour;341.4917;-5.4251013;341.6353;-5.36594;U;2;19.72;20.4639;20.313553
"0202730301";"1998 XN8";190.58603;14.317165;190.61578;14.256748;U;2;19.85;20.5939;20.89745
"0152860101";Cleobulus;356.9759;-2.3834016;357.08148;-2.3367748;U;2;20.03;20.7739;20.558468
"0551750301";"1998 HU144";175.37543;2.411086;175.45065;2.3871083;U;2;20.22;20.9639;20.114899
"0202680101";Sadakane;263.40793;-26.113657;263.86526;-26.150688;U;2;20.37;21.1139;20.966913
"0723800701";"1990 QC3";180.89642;1.8885479;181.14238;1.7743006;U;2;20.47;21.2139;20.462341
"0724840301";Boreas;175.1275;3.227399;175.16331;3.1943903;U;2;20.5;21.2439;20.350956
