target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err,v_mag_1,v_mag_1_corrected
Barbara,0781040101,S,P0781040101OMS015FSIMAGS000.FTZ,20.250303501123682,0.31802684347445076,0.03377836307845115,0.009894142026766865,152.00263385303015,44.52363912045089,1438.4082911224104,7.687653300518503,1.726637359948792,1286.4056572693803,22.33537300887552,167.333984375,1851.880859375,16.5719,13.0,16.0,0.0,0.4041977991223735,20.654501300246054,0.31802684347445076,12.36,16.4378
Barbara,0781040101,S,P0781040101OMS017FSIMAGS000.FTZ,21.768105644179073,0.9759459238424978,0.008346756467693138,0.0075027289801122225,37.560404104619124,33.762280410505,764.9335251119919,7.285898090674366,1.7302400260943482,727.3731210073728,17.2879473962908,99.8330078125,392.1591796875,16.5719,13.0,5.999999999999999,0.0,0.28204786533163256,22.050153509510707,0.9759459238424978,12.36,16.4378
Barbara,0781040101,S,P0781040101OMS016FSIMAGS000.FTZ,,,,,,,,,,,,,,,13.0,6.0,,,,,12.36,16.4378
