observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,V,2,15.63,15.6774,19.47694,,N
0793183801,Pluto,290.5976,-21.208502,290.59418,-21.210587,V,2,14.66,14.7074,19.166199,P0793183801OMS050SIMAGE0000.FTZ,Y
