"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type"
"0761730301";"2015 XG396";145.27423;4.8911843;145.37209;4.789666;V;2
"0504650201";"2016 AV66";272.31372;-19.809008;272.41995;-19.786947;V;1
"0135960101";"2016 CY12";268.097;-26.669483;268.1801;-26.65301;V;2
"0503610101";"2016 CJ51";192.44293;4.921327;192.81108;4.878194;V;1
"0128531401";"2016 CA229";161.24315;21.568274;161.28975;21.460316;V;3
"0503610101";"2016 CV296";192.45848;5.2951837;192.71469;5.2351265;V;2
"0128531201";"2016 HD16";74.44124;20.522438;74.51339;20.545647;V;2
"0727761001";"2016 LS";284.19452;-37.785748;284.13058;-37.81231;V;2
"0206380401";"2016 NF2";261.354;-36.256042;261.37674;-36.2583;V;2
"0820830101";"2016 RB30";173.02089;-12.470449;173.30812;-12.632812;V;2
"0307090201";"2016 SN48";80.34937;42.180668;80.473206;42.139217;V;1
"0304050101";"2016 TE86";355.4034;-15.203814;355.54428;-15.193781;V;1
"0405210501";"2016 YW9";85.944305;6.5613775;86.100586;6.5478406;V;1
"0147800201";"2016 YG12";54.185432;9.897518;54.87228;10.119402;V;3
"0741470201";"2017 BQ95";275.14154;-13.222122;275.21115;-13.213856;V;2
"0165972001";"2017 FV9";284.25592;-37.93931;284.36472;-37.9057;V;2
"0823730101";"2017 FM88";339.6165;3.1590328;340.09534;3.3845754;V;2
"0402430401";"2017 PN33";266.12558;-28.92092;266.26727;-28.928797;V;2
"0782360201";"2017 QE57";221.73923;-2.1249948;221.77396;-2.1577814;V;4
"0721010301";"2017 WM";261.3579;-14.385541;261.99377;-14.037905;V;1
"0803080401";"2018 LV8";264.98828;9.997105;265.4486;10.149203;V;2
"0405210201";"2018 RP31";82.76223;10.641091;82.93904;10.613388;V;1
"0147330101";"2018 VD15";351.2012;-12.004674;351.6404;-11.982822;V;1
"0204580401";"2018 VB20";277.5902;-21.299479;277.6524;-21.324766;V;1
"0128531201";"2018 VP61";73.42551;19.975513;73.57478;20.020765;V;1
"0105460101";"2018 VF63";258.5409;-25.084213;258.5971;-25.089579;V;1
"0149610101";"2018 XB16";274.49268;-20.811672;274.56998;-20.818014;V;1
"0302380201";"2019 GD8";206.94046;-3.5054736;207.05281;-3.614067;V;1
"0693970401";"2001 SG132";36.80667;20.528057;36.88534;20.611052;V;2
"0727760501";"2001 UK74";283.82248;-38.05285;284.1756;-37.932274;V;2
"0744490401";"2001 UQ103";339.00092;-12.480955;339.46457;-12.211361;V;3
"0147420201";"2002 DM20";253.30618;2.5147932;253.36826;2.5750258;V;2
"0723800701";"2002 GT2";180.82141;1.934928;181.0785;1.738927;V;4
"0678380901";"2002 JR100";251.01958;57.764328;247.61356;57.473785;V;1
"0830400101";"2002 PC40";256.78903;-40.446026;257.1227;-40.10024;V;4
"0784330201";"2002 QC141";223.12784;3.2527678;223.64488;3.4794352;V;4
"0727761001";"2002 RR290";283.9808;-37.82689;284.16074;-37.70921;V;2
"0112370701";"2002 TX176";34.045956;-5.247542;34.18119;-5.262291;V;2
"0790380901";"2004 BD86";238.9053;11.172359;239.36023;11.4214;V;2
"0555870201";"2005 AY";152.19798;12.327127;152.78125;12.30276;V;2
"0723240201";"2005 HB";220.98843;6.5413857;221.3062;6.5090866;V;2
"0693180101";"2005 SG254";292.59866;-26.508017;292.80362;-26.450733;V;4
"0800050101";"2005 YM161";200.03973;-2.4539082;200.18028;-2.461411;V;2
"0743200101";"2006 QV35";255.32419;-43.14349;255.40906;-43.10831;V;2
"0670120201";"2006 SJ273";343.5709;-16.773298;343.659;-16.558062;V;1
"0411780601";"2006 SC275";329.25995;-30.367924;329.5657;-30.327782;V;4
"0301880901";"2006 SH281";279.70447;-2.6313198;279.74173;-2.6427987;V;2
"0763450301";"2006 VN102";34.309624;1.6153787;34.700325;1.7016553;V;1
"0831791701";"2007 EH129";283.79028;-8.512459;283.8692;-8.4566;V;1
"0744490401";"2007 FD47";338.8049;-12.600927;339.06912;-12.420276;V;1
"0727761001";"2007 RV8";283.93323;-37.977325;284.44116;-37.863358;V;1
"0405640801";"2007 RA230";260.72675;-36.690475;260.7867;-36.6851;V;1
"0762250301";"2007 RJ281";265.8082;-29.04463;266.36893;-28.907377;V;2
"0792382801";"2007 TK146";81.92657;33.499336;81.99189;33.52582;V;1
"0792382901";"2007 TK146";82.469215;33.755062;82.541245;33.785534;V;1
"0106660401";"2007 TS391";334.7123;-17.816545;334.80148;-17.749645;V;1
"0554680101";"2007 UM56";198.93764;-16.284708;199.4196;-16.465565;V;2
"0822530501";"2008 CA72";140.34805;28.828192;140.49654;28.778677;V;2
"0763450301";"2008 QB1";33.368473;2.1759698;34.764496;2.320665;V;1
"0135745801";"2008 SW19";277.26007;-11.037883;277.31635;-11.051119;V;1
"0149610101";"2008 SV266";274.77847;-20.985525;274.87735;-20.980742;V;1
"0690720101";"2009 CN10";118.1334;16.205095;118.194374;16.196592;V;2
"0670840101";"2009 EL9";65.862404;24.755112;65.92812;24.739223;V;1
"0415380201";"2009 SM259";190.53908;-0.65094;190.54724;-0.6628599;V;2
"0679980601";"2009 SQ300";277.00256;-23.881056;277.19897;-23.870346;V;1
"0693750401";"2009 UP";359.20297;3.3636384;359.42438;3.4212003;V;2
"0801930901";Biryukov;194.33566;-4.7691097;194.66315;-4.8694215;V;2
"0601391001";Joan;311.10928;-10.799758;311.30627;-10.784494;V;2
"0762520301";Boyan;135.95937;15.101158;136.18655;15.036995;V;2
"0135742201";Hviezdoslav;270.01608;-23.423819;270.02887;-23.423712;V;2
"0099711101";Papadopoulos;61.992123;17.217712;62.227226;17.250393;V;2
"0505940201";Ohno;266.24353;-21.528444;266.43323;-21.540379;V;2
"0555970401";Jonsujatha;224.05255;-11.526042;224.38554;-11.652401;V;2
"0164561401";"1991 SG1";272.24857;-20.404673;272.35464;-20.400114;V;2
"0744490501";Setsuko;339.06952;-12.540707;339.28516;-12.458349;V;2
"0405210301";Cronkite;85.92899;9.452852;86.15091;9.519675;V;4
"0094810701";Armstrong;67.8792;18.302021;67.914314;18.31181;V;2
"0723800701";"1981 FT";181.07764;1.7639948;181.45999;1.5569856;V;4
"0744490401";Gurzhij;338.88007;-12.779612;339.32846;-12.523151;V;2
"0670120401";Chrisclark;343.588;-17.584646;343.6382;-17.397612;V;2
"0670120301";Chrisclark;343.52396;-17.824842;343.55606;-17.647392;V;2
"0145840201";`Akikiki;272.67194;-21.133926;272.73895;-21.133427;V;2
"0801930901";Myroncope;193.77138;-4.8424706;194.23102;-4.920063;V;4
"0748391601";Mayeda;255.36346;-29.876793;255.52574;-29.889662;V;2
"0744490401";"1986 TX3";339.2398;-12.453829;339.78464;-12.192947;V;2
"0103261901";An-Eefje;270.10092;-24.854946;270.1478;-24.856543;V;2
"0728980201";Olausgutho;151.68561;12.850109;151.87369;12.78802;V;2
"0135742601";Myrtus;269.99954;-22.69038;270.02426;-22.692225;V;2
"0505940201";Lindenau;266.38937;-21.570652;266.50864;-21.568764;V;2
"0679980601";Ockels;277.27313;-23.675331;277.33273;-23.684246;V;2
"0505940201";"1985 AE";266.46466;-21.63796;266.64908;-21.63601;V;2
"0743950401";"1988 RQ5";146.45583;9.835063;146.56332;9.789762;V;2
"0780670101";"1991 SC1";210.18344;-14.46622;210.24474;-14.507062;V;2
"0723800701";"1990 QC3";180.89642;1.8885479;181.14238;1.7743006;V;2
"0203170301";"1998 YB12";187.92491;0.30781987;188.23128;0.18907033;V;2
"0672720101";Peterwisse;122.04476;20.886232;122.22666;20.854963;V;2
"0301880101";Sans;268.68234;-22.984724;268.70343;-22.984703;V;2
"0744490501";"1990 SF3";338.75604;-12.678126;339.02414;-12.574529;V;4
"0748190101";Sakaguchi;29.18564;5.722863;29.431702;5.8403807;V;2
"0748190101";Wubbena;28.992863;5.590003;29.11837;5.6450605;V;2
"0145840201";Billhubbard;272.40387;-21.22441;272.5047;-21.225391;V;2
"0112410101";"1998 SK100";260.04654;-24.932611;260.0816;-24.931559;V;2
"0552800201";"1991 AB2";272.12976;-19.726236;272.42093;-19.693258;V;2
"0691840101";Guericke;333.35062;-17.186514;333.76288;-16.972826;V;3
"0679980701";Tanais;277.36536;-23.665611;277.47165;-23.674517;V;2
"0150870301";Niven;42.074013;17.984638;42.180466;18.009947;V;4
