slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,4,327.74366792686453,622.4032079392622,6.3122953660245145,6.0,11.0,0.7959240904291718,0.06132083013653755,0.0073273698799312115,0.06436354216291486,0.008569934594228877,0.9527261563902792,0.05257977846428983,P0303670101OMS417SIMAGE1000.FTZ,P0303670101OMS417SWSRLI1000.FTZ,0303670101,M,Seeligeria
2,5,276.67819405046555,500.5847073806569,7.3122953660245145,6.0,11.0,0.7959240904291718,0.04873939976096153,0.006918083410710096,0.05011180019717784,0.008661900752102492,0.9726132282054079,0.03014957006389103,P0303670101OMS417SIMAGE1000.FTZ,P0303670101OMS417SWSRLI1000.FTZ,0303670101,M,Seeligeria
3,8,211.73984920104573,649.5922054951736,7.3122953660245145,6.0,11.0,0.7959240904291718,0.03563513606786728,0.006666771601885557,0.047440382644031207,0.008607116171026812,0.7511561686855571,0.310674404668262,P0303670101OMS417SIMAGE1000.FTZ,P0303670101OMS417SWSRLI1000.FTZ,0303670101,M,Seeligeria
4,3,336.05252113557776,187.2858635739624,8.312295366024514,6.0,11.0,0.7959240904291718,0.14503887295722961,0.013616593554615974,0.13112200172491628,0.011032947890170302,1.1061368118945427,-0.10952211438428908,P0303670101OMS417SIMAGE1000.FTZ,P0303670101OMS417SWSRLI1000.FTZ,0303670101,M,Seeligeria
