"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0782520501";Ronan;155.58578;19.861664;155.94897;19.838661;L;2;16.74;18.2242;20.749657
"0761620201";David Hughes;204.416;-29.791143;204.7036;-30.01891;L;2;18.39;19.8742;20.865303
"0093640301";Velez;154.81967;8.300474;154.8969;8.289543;L;2;18.31;19.7942;19.593279
"0744490601";Lynn;339.1378;-12.76845;339.3338;-12.6299095;L;2;17.26;18.7442;19.643269
"0152860101";Cleobulus;356.9759;-2.3834016;357.08148;-2.3367748;L;2;20.03;21.5142;20.321297
"0160961001";Kaneko;83.614944;21.909878;83.63377;21.911007;L;2;17.22;18.7042;19.894526
"0136550101";Milone;187.13156;2.2099533;187.24306;2.188103;L;4;17.83;19.3142;20.62759
"0300960631";Hermitage;204.39601;-9.539437;204.4068;-9.540443;L;4;18.28;19.7642;20.005869
"0300960601";Hermitage;204.39658;-9.53944;204.46303;-9.56005;L;2;18.28;19.7642;19.604355
"0803952201";Sladkovic;180.42682;1.3890518;180.48125;1.3748386;L;2;18.79;20.2742;20.188965
"0803161101";Asteropaios;159.3042;-2.5558047;159.30394;-2.567429;L;2;18.04;19.5242;19.633095
"0137550501";Vermeer;83.65883;21.961323;83.72975;21.956732;L;2;18.04;19.5242;19.533842
"0099711101";Papadopoulos;61.992123;17.217712;62.227226;17.250393;L;2;18.13;19.6142;19.521446
"0505150301";Lac dOrient;257.49255;-23.311457;257.5888;-23.30401;L;4;18.74;20.2242;20.233139
"0652350501";Showa;239.97562;-40.389557;239.99725;-40.38592;L;2;17.89;19.3742;19.39832
"0725290145";Kalman;135.12029;1.059697;135.40196;1.1154217;L;3;18.15;19.6342;19.777819
"0556212301";Amenemhet;223.67499;1.7319185;223.70604;1.7113348;L;2;16.72;18.2042;19.818596
"0740920501";Doctorwatson;189.88533;-5.271374;189.93896;-5.2959714;L;2;18.52;20.0042;19.44804
"0042341201";Tanchozuru;347.13623;-2.2363884;347.18942;-2.2216718;L;4;17.05;18.5342;19.577562
"0782060901";Kusaji;59.722168;23.383583;59.83132;23.40673;L;2;18.12;19.6042;19.932793
"0300240101";Mucha;139.65082;16.330862;139.72375;16.316349;L;2;17.62;19.1042;20.044724
"0603980101";Migliorini;3.37869;5.6203294;3.7140448;5.7482915;L;2;17.54;19.0242;20.619598
"0109661401";Bentengahama;26.098818;-4.507673;26.243004;-4.5135283;L;2;17.13;18.6142;20.502052
"0501270301";The;98.4076;17.725702;98.443306;17.726965;L;2;17.44;18.9242;20.213562
"0673002336";Zakharchenya;352.2335;-0.9857976;352.84796;-0.75251585;L;3;18.46;19.9442;19.932152
"0673002301";Zakharchenya;352.2383;-0.9835514;352.8237;-0.75923365;L;3;18.46;19.9442;19.88853
"0673002345";Zakharchenya;352.2335;-0.9857976;352.84796;-0.75251585;L;3;18.46;19.9442;19.930092
"0202730101";Kiyosato;155.41478;21.647322;155.5116;21.582262;L;4;17.31;18.7942;20.385172
"0801681001";"1991 TS4";267.11047;-30.018438;267.23462;-29.993216;L;2;16.84;18.3242;20.259472
"0203450201";"1941 UN";330.77777;-19.121084;330.98447;-19.069593;L;2;18.15;19.6342;20.324316
"0763100101";Silentium;272.7718;-26.247627;273.2145;-26.200418;L;2;18.2;19.6842;20.521885
"0511000901";Itoh;265.9904;-28.91837;266.01147;-28.920454;L;2;19.16;20.6442;19.190453
"0677681201";Robertburns;31.052351;-7.6095448;31.526031;-7.816139;L;2;17.98;19.4642;19.98808
"0677681231";Robertburns;31.047266;-7.608261;31.535105;-7.821267;L;2;17.98;19.4642;20.475643
"0747390101";Brewington;16.05492;-0.6276693;16.450619;-0.39607003;L;2;17.64;19.1242;20.265905
"0502091601";Kulibin;139.68604;16.174475;139.9307;16.108969;L;2;18.6;20.0842;20.20809
"0693960101";Polykletus;273.3049;-12.955136;273.58664;-12.869307;L;3;18.59;20.0742;20.82187
"0302580701";Chesneau;326.4374;4.212535;326.50232;4.446862;L;4;16.43;17.9142;20.226696
"0301500101";Fraethi;65.42257;19.545258;65.81281;19.551304;L;2;18.44;19.9242;20.767122
"0675471801";Lasorda;323.60373;-13.364854;323.66113;-13.351682;L;2;17.55;19.0342;19.685972
"0144630101";Fecamp;265.89798;-29.656038;265.92715;-29.652431;L;2;18.01;19.4942;19.5934
"0744490501";Setsuko;339.06952;-12.540707;339.28516;-12.458349;L;2;18.59;20.0742;19.682575
"0112370801";Nishimura;34.777752;-5.2152123;34.917595;-5.234906;L;2;17.08;18.5642;19.688677
