observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0674480401,Potomac,211.0623,-1.7947428,211.08228,-1.7920687,L,2,16.23,17.7142,19.507391,P0674480401OMS407SIMAGE1000.FTZ,Y
0740920301,Tampere,189.99167,-5.2425995,190.04404,-5.2669373,L,2,17.28,18.7642,19.431232,P0740920301OMS406SIMAGE1000.FTZ,Y
0803952601,Joensuu,126.34115,31.908278,126.41946,31.915562,L,4,16.57,18.0542,20.111593,,N
0693990301,Vivian,169.74861,6.926413,169.98149,6.814373,L,2,17.4,18.8842,21.13498,P0693990301OMS011FSIMAGL000.FTZ,Y
0693990301,Vivian,169.74861,6.926413,169.98149,6.814373,L,2,17.4,18.8842,21.13498,P0693990301OMS015FSIMAGL000.FTZ,Y
0405950101,Wells,171.26674,-13.057991,171.30545,-13.055931,L,2,16.55,18.0342,19.766872,P0405950101OMS401SIMAGE1000.FTZ,Y
0801681301,Brouwer,267.38107,-28.530476,267.4505,-28.520363,L,2,16.59,18.0742,20.203415,P0801681301OMS006FSIMAGL000.FTZ,Y
0801681301,Brouwer,267.38107,-28.530476,267.4505,-28.520363,L,2,16.59,18.0742,20.203415,P0801681301OMS007FSIMAGL000.FTZ,Y
0741891201,Wright,273.11926,0.6451481,273.21085,0.64789516,L,2,15.96,17.4442,20.279844,,N
0747400101,Barbarossa,17.955683,-0.3202578,18.342957,-0.3368094,L,2,15.78,17.2642,20.29133,,N
0747390101,Barbarossa,15.857651,-0.3564057,16.290304,-0.33167773,L,2,15.88,17.3642,20.265905,,N
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS022FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS021FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS012FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS016FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS006FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS015FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS014FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS007FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS017FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS013FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS019FSIMAGL000.FTZ,Y
0305540501,Pobeda,246.701,-24.760162,246.98048,-24.853237,L,2,16.38,17.8642,21.516909,P0305540501OMS020FSIMAGL000.FTZ,Y
0724840301,Boreas,175.1275,3.227399,175.16331,3.1943903,L,2,20.5,21.9842,20.692152,,N
0675470501,Tripaxeptalis,332.63937,-12.105701,332.71588,-12.064228,L,2,17.4,18.8842,19.927706,,N
0502290101,Ehrdni,7.367064,4.7339277,7.5903044,4.882423,L,2,17.27,18.7542,20.587307,,N
0804250301,Flagstaff,266.6556,-29.832102,266.75275,-29.849316,L,2,17.51,18.9942,20.047064,P0804250301OMS008FSIMAGL000.FTZ,D
0153450101,Coubertin,191.79004,-5.7145033,192.03386,-5.8043766,L,2,17.75,19.2342,19.581043,,N
0800400501,Sarpedon,137.51436,-0.7671195,137.53622,-0.744149,L,2,17.12,18.6042,20.12307,P0800400501OMS408SIMAGE1000.FTZ,Y
0600450901,Tokai,74.0676,22.680155,74.19661,22.677528,L,2,16.66,18.1442,19.603882,,N
0744440301,Lipschutz,191.58722,2.5241559,192.09926,2.315665,L,2,17.02,18.5042,20.213953,,N
0601391001,Joan,311.10928,-10.799758,311.30627,-10.784494,L,2,17.35,18.8342,19.539156,,N
0670300301,Burns,288.43982,-21.332952,288.52097,-21.316727,L,2,18.48,19.9642,19.780638,,N
0803950801,Salazar,146.9091,14.372137,146.93277,14.363873,L,2,18.06,19.5442,20.027674,,N
0205330501,Epstein,346.99942,-2.2958732,347.021,-2.2808473,L,2,17.33,18.8142,19.402891,P0205330501OMS401SIMAGE1000.FTZ,D
0110980101,Lucubratio,170.06161,13.668645,170.25316,13.580854,L,2,17.14,18.6242,20.251143,P0110980101OMS406SIMAGE1000.FTZ,Y
0110980101,Lucubratio,170.06161,13.668645,170.25316,13.580854,L,2,17.14,18.6242,20.251143,P0110980101OMS411SIMAGE1000.FTZ,Y
0654910901,Dobermann,146.39177,-14.390894,146.60173,-14.522552,L,4,17.49,18.9742,20.98685,,N
0552860101,Nantong,163.64049,-5.6709156,163.65152,-5.7537227,L,2,17.65,19.1342,20.143927,,N
0200920101,Nefertiti,187.79323,12.733284,187.68793,12.406681,L,2,17.33,18.8142,20.76392,,N
0722190101,Svetlov,258.03354,-39.65441,258.39084,-39.804283,L,2,16.91,18.3942,20.304146,,N
0081340801,Stepanov,183.3527,2.7053835,183.43324,2.687358,L,2,17.07,18.5542,19.439342,,N
0673002334,Dowling,352.51404,-1.0533836,353.17795,-0.76529545,L,4,19.19,20.6742,19.91454,,N
0109970101,Osip,189.72058,-5.3029947,189.80798,-5.347017,L,2,18.53,20.0142,19.856268,,N
0762520301,Boyan,135.95937,15.101158,136.18655,15.036995,L,2,18.46,19.9442,20.021412,,N
0149170501,Hokkaido,139.78476,21.210978,139.80263,21.19863,L,2,18.18,19.6642,19.79696,,N
0723802101,Chopin,10.146284,-9.4725275,10.456929,-9.431454,L,2,16.88,18.3642,20.234182,,N
0305920201,Dornburg,174.95113,3.22034,175.0984,3.171546,L,2,19.0,20.4842,19.905512,,N
0692510201,Quaide,142.18173,18.831175,142.26836,18.820974,L,2,17.74,19.2242,20.218042,,N
0201900101,Heizman,2.0326822,2.0966861,2.0746171,2.1183758,L,4,18.37,19.8542,19.895113,,N
0782520501,Ronan,155.58578,19.861664,155.94897,19.838661,L,2,16.74,18.2242,20.749657,,N
0761620201,David Hughes,204.416,-29.791143,204.7036,-30.01891,L,2,18.39,19.8742,20.865303,,N
0093640301,Velez,154.81967,8.300474,154.8969,8.289543,L,2,18.31,19.7942,19.593279,,N
0744490601,Lynn,339.1378,-12.76845,339.3338,-12.6299095,L,2,17.26,18.7442,19.643269,,N
0152860101,Cleobulus,356.9759,-2.3834016,357.08148,-2.3367748,L,2,20.03,21.5142,20.321297,,N
0160961001,Kaneko,83.614944,21.909878,83.63377,21.911007,L,2,17.22,18.7042,19.894526,,N
0136550101,Milone,187.13156,2.2099533,187.24306,2.188103,L,4,17.83,19.3142,20.62759,,N
0300960631,Hermitage,204.39601,-9.539437,204.4068,-9.540443,L,4,18.28,19.7642,20.005869,,N
0300960601,Hermitage,204.39658,-9.53944,204.46303,-9.56005,L,2,18.28,19.7642,19.604355,,N
0803952201,Sladkovic,180.42682,1.3890518,180.48125,1.3748386,L,2,18.79,20.2742,20.188965,,N
0803161101,Asteropaios,159.3042,-2.5558047,159.30394,-2.567429,L,2,18.04,19.5242,19.633095,P0803161101OMS411SIMAGE1000.FTZ,D
0137550501,Vermeer,83.65883,21.961323,83.72975,21.956732,L,2,18.04,19.5242,19.533842,,N
0099711101,Papadopoulos,61.992123,17.217712,62.227226,17.250393,L,2,18.13,19.6142,19.521446,,N
0505150301,Lac dOrient,257.49255,-23.311457,257.5888,-23.30401,L,4,18.74,20.2242,20.233139,,N
0652350501,Showa,239.97562,-40.389557,239.99725,-40.38592,L,2,17.89,19.3742,19.39832,,N
0725290145,Kalman,135.12029,1.059697,135.40196,1.1154217,L,3,18.15,19.6342,19.777819,P0725290145OMS416SIMAGE0000.FTZ,D
0556212301,Amenemhet,223.67499,1.7319185,223.70604,1.7113348,L,2,16.72,18.2042,19.818596,,N
0740920501,Doctorwatson,189.88533,-5.271374,189.93896,-5.2959714,L,2,18.52,20.0042,19.44804,,N
0042341201,Tanchozuru,347.13623,-2.2363884,347.18942,-2.2216718,L,4,17.05,18.5342,19.577562,,N
0782060901,Kusaji,59.722168,23.383583,59.83132,23.40673,L,2,18.12,19.6042,19.932793,,N
0603980101,Migliorini,3.37869,5.6203294,3.7140448,5.7482915,L,2,17.54,19.0242,20.619598,,N
0109661401,Bentengahama,26.098818,-4.507673,26.243004,-4.5135283,L,2,17.13,18.6142,20.502052,,N
0673002336,Zakharchenya,352.2335,-0.9857976,352.84796,-0.75251585,L,3,18.46,19.9442,19.932152,,N
0673002301,Zakharchenya,352.2383,-0.9835514,352.8237,-0.75923365,L,3,18.46,19.9442,19.88853,,N
0673002345,Zakharchenya,352.2335,-0.9857976,352.84796,-0.75251585,L,3,18.46,19.9442,19.930092,,N
0202730101,Kiyosato,155.41478,21.647322,155.5116,21.582262,L,4,17.31,18.7942,20.385172,,N
0801681001,1991 TS4,267.11047,-30.018438,267.23462,-29.993216,L,2,16.84,18.3242,20.259472,,N
0203450201,1941 UN,330.77777,-19.121084,330.98447,-19.069593,L,2,18.15,19.6342,20.324316,,N
0763100101,Silentium,272.7718,-26.247627,273.2145,-26.200418,L,2,18.2,19.6842,20.521885,,N
0511000901,Itoh,265.9904,-28.91837,266.01147,-28.920454,L,2,19.16,20.6442,19.190453,,N
0677681201,Robertburns,31.052351,-7.6095448,31.526031,-7.816139,L,2,17.98,19.4642,19.98808,,N
0677681231,Robertburns,31.047266,-7.608261,31.535105,-7.821267,L,2,17.98,19.4642,20.475643,,N
0747390101,Brewington,16.05492,-0.6276693,16.450619,-0.39607003,L,2,17.64,19.1242,20.265905,,N
0502091601,Kulibin,139.68604,16.174475,139.9307,16.108969,L,2,18.6,20.0842,20.20809,,N
0693960101,Polykletus,273.3049,-12.955136,273.58664,-12.869307,L,3,18.59,20.0742,20.82187,,N
0302580701,Chesneau,326.4374,4.212535,326.50232,4.446862,L,4,16.43,17.9142,20.226696,P0302580701OMS405SIMAGE1000.FTZ,Y
0301500101,Fraethi,65.42257,19.545258,65.81281,19.551304,L,2,18.44,19.9242,20.767122,,N
0675471801,Lasorda,323.60373,-13.364854,323.66113,-13.351682,L,2,17.55,19.0342,19.685972,,N
0144630101,Fecamp,265.89798,-29.656038,265.92715,-29.652431,L,2,18.01,19.4942,19.5934,,N
0744490501,Setsuko,339.06952,-12.540707,339.28516,-12.458349,L,2,18.59,20.0742,19.682575,,N
0112370801,Nishimura,34.777752,-5.2152123,34.917595,-5.234906,L,2,17.08,18.5642,19.688677,,N
0677610132,Tijn,33.025536,-4.077904,33.06729,-3.9389703,L,4,18.88,20.3642,19.820427,,N
0600450901,Hilliard,74.14855,22.715166,74.2996,22.717388,L,2,18.1,19.5842,19.603882,,N
0206060201,Vanavara,144.86998,14.974762,144.96599,14.948397,L,2,18.53,20.0142,20.194166,,N
0505460201,Kaifu,333.27814,-17.793358,333.38565,-17.759901,L,4,18.56,20.0442,20.822746,,N
0727571501,Lomberg,58.48386,-0.17843609,58.72201,-0.27030504,L,2,18.28,19.7642,20.217653,,N
0674601001,Lehmbruck,266.51685,-28.887419,266.5761,-28.900345,L,2,19.46,20.9442,20.031595,,N
0747390133,Parler,16.833363,-0.37462756,16.847107,-0.3693347,L,2,18.45,19.9342,20.230965,,N
0747400143,Parler,18.632523,0.13034242,18.643545,0.13309434,L,2,18.31,19.7942,20.265831,P0747400143OMS412SIMAGE0000.FTZ,D
0600450401,Takatsuguyoshida,128.86101,14.1144705,128.90446,14.101141,L,2,19.15,20.6342,19.43407,,N
0723800701,1981 FT,181.07764,1.7639948,181.45999,1.5569856,L,4,18.35,19.8342,20.147335,,N
0694640801,Tennyo,266.88947,-27.838116,267.08127,-27.831554,L,2,18.82,20.3042,19.878683,,N
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,L,2,18.26,19.7442,20.221659,,N
