# WITH scr AS (  SELECT DISTINCT observation::text AS observation_id,object::text AS sso_name  FROM sso.screening_output_raw  where "L" like 'Y' or "L" like 'D'),xmm AS (  SELECT    observation_id,    sso_name,    ra_deg_1, dec_deg_1,    ra_deg_2, dec_deg_2,    filter,    xmatch_type,    v_mag_1,    v_mag_1_corrected,    mlim_obs  FROM sso.xmm_om_unique WHERE filter = 'L') SELECT  x.observation_id,  x.sso_name,  x.ra_deg_1, x.dec_deg_1,  x.ra_deg_2, x.dec_deg_2,  x.filter,  x.xmatch_type,  x.v_mag_1,  x.v_mag_1_corrected,  x.mlim_obs FROM scr s JOIN xmm x  ON x.observation_id = s.observation_id AND x.sso_name       = s.sso_name; 
"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type";"v_mag_1";"v_mag_1_corrected";"mlim_obs"
"0673002347";"1981 EX26";351.8393;-0.87859577;352.49908;-0.5885451;L;3;18.71;20.1942;19.929981
"0801681001";"1991 SK2";267.35052;-30.198545;267.41754;-30.179098;L;2;18.58;20.0642;20.259472
"0605990501";"1998 FZ52";272.32047;-19.705824;272.3333;-19.702621;L;2;18.91;20.3942;19.66558
"0677610140";"1998 MN16";30.132433;-4.5725913;30.39163;-4.238744;L;4;17.95;19.4342;19.809097
"0783670101";Patrickdufour;341.4917;-5.4251013;341.6353;-5.36594;L;2;19.72;21.2042;20.6225
"0603980101";Benjaminlu;5.2943716;5.5752134;5.4851556;5.650688;L;4;19.69;21.1742;20.619598
"0793581001";Astrometria;35.346306;-4.130742;35.35124;-4.1197343;L;2;18.48;19.9642;20.400606
"0402070301";Henrylin;200.15645;-11.736624;200.41628;-11.835991;L;2;19.48;20.9642;20.430317
"0693820201";"2000 RX67";197.61902;-1.358278;197.81927;-1.4117829;L;2;18.74;20.2242;20.782482
"0603980101";Kardashev;3.3916037;5.6000853;3.6065955;5.6792502;L;2;18.8;20.2842;20.619598
"0720250801";"1989 AJ";191.11758;-11.931116;191.16841;-11.946742;L;2;19.6;21.0842;20.305458
"0203360701";"2000 AE149";150.4127;2.501;150.47028;2.465165;L;2;19.81;21.2942;20.546822
"0651770201";"2000 EF85";183.88443;-11.879962;184.07118;-12.023704;L;2;18.86;20.3442;20.415768
"0802200801";"1998 SM135";165.06418;9.969449;165.20471;9.921187;L;2;19.38;20.8642;19.924963
"0801680601";"2000 JC85";267.03726;-29.78195;267.10678;-29.793716;L;2;18.03;19.5142;20.275906
"0202730301";"1998 XN8";190.58603;14.317165;190.61578;14.256748;L;4;19.85;21.3342;20.492886
"0655090431";"1999 RL89";315.74164;-18.431547;315.84045;-18.371767;L;2;19.71;21.1942;20.886017
"0655090432";"1999 RL89";315.74164;-18.431547;315.84045;-18.371767;L;2;19.71;21.1942;20.686737
"0655090401";"1999 RL89";315.74298;-18.4305;315.8404;-18.371792;L;2;19.71;21.1942;20.945585
"0603980101";"1999 UX35";3.351043;5.5268273;3.6045234;5.6390986;L;2;20.09;21.5742;20.619598
"0780760201";"1999 TW207";42.33431;42.2853;42.590015;42.18258;L;4;19.18;20.6642;20.652039
"0793183801";Pluto;290.5976;-21.208502;290.59418;-21.210587;L;2;14.66;16.1442;21.213638
"0305541101";"2002 UM27";246.42761;-24.57359;246.92784;-24.645744;L;2;19.6;21.0842;21.435625
"0677690141";"2006 KP121";30.381132;-7.09505;31.09136;-7.2169237;L;2;18.55;20.0342;20.452381
"0677690140";"2006 KP121";30.381132;-7.09505;31.09136;-7.2169237;L;3;18.55;20.0342;20.360147
"0402360101";"2006 BQ6";27.57514;32.197796;20.135792;33.51657;L;3;15.85;17.3342;20.841488
