target_name,observation_id,filter,fits_name,mag_ab,mag_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,apcorr_mag,mag_ab_apcorr,mag_ab_apcorr_err
Guericke,0691840101,L,P0691840101OMS413SIMAGE1000.FTZ,,,,,,,,,,,,,,,13.0,6.0,,,,
Guericke,0691840101,L,P0691840101OMS414SIMAGE1000.FTZ,,,,,,,,,,,,,,,13.0,6.0,,,,
Gurzhij,0744490401,L,P0744490401OMS434SIMAGE2000.FTZ,,,,,,,,,,,,,,,9.0,6.0,,,,
Chrisclark,0670120401,L,P0670120401OMS413SIMAGE1000.FTZ,21.186205761460837,0.25016893286345265,0.08953600143076965,0.02063036127640256,447.68000715384824,103.1518063820128,7315.854481000453,18.445983123036655,2.6557285510670714,6868.174473846605,51.245229055379376,372.33984375,1400.111328125,18.5662,13.0,11.0,0.0,0.0,21.186205761460837,0.25016893286345265
1998 YB12,0203170301,L,P0203170301OMS430SIMAGE0000.FTZ,,,,,,,,,,,,,,,13.0,6.0,,,,
Uwontario,0147330101,L,P0147330101OMS414SIMAGE1000.FTZ,18.952499892048603,0.04648626303213072,0.7006159872272059,0.02999718077576854,2732.402350186103,116.9890050254973,9511.405215264298,12.131256263089588,2.2941118723796765,6779.002865078195,54.230625382817294,558.8046875,1331.71875,18.5662,13.0,9.0,0.0,0.0,18.952499892048603,0.04648626303213072, huge detection- parallel to Uwontario direction - review
Joannehsieh,0802560101,L,P0802560101OMS009FSIMAGL000.FTZ,,,,,,,,,,,,,,,13.0,6.0,,,,
1993 FQ7,0106660201,L,P0106660201OMS415SIMAGE1000.FTZ,19.167562772941103,0.055227560056203634,0.574718121085951,0.02923388332675979,1149.436242171902,58.46776665351958,2684.1152157075703,7.329331428453946,1.613625716222366,1534.6789735356683,23.349597451021364,209.388671875,603.5048828125,18.5662,13.0,7.0,0.0,0.0,19.167562772941103,0.055227560056203634, detection trail - not linked to this source!
2001 EK17,0743830601,L,P0743830601OMS414SIMAGE1000.FTZ,20.417653397403875,0.08595076381839731,0.18172665848757943,0.014386135398635107,908.6332924378971,71.93067699317554,3631.188383056782,14.679397073456254,2.4431876568214244,2722.555090618885,33.2729306442439,185.4677734375,471.212890625,18.5662,13.0,6.000000000000001,0.0,0.0,20.417653397403875,0.08595076381839731
1998 MM7,0112370801,L,P0112370801OMS416SIMAGE1000.FTZ,18.566464938663024,0.05662811511404312,0.9997560122434392,0.052143705787850984,999.7560122434393,52.14370578785098,2093.5378559766104,3.0572246885072643,1.1191870102173302,1093.7818437331712,21.169194680197034,357.76953125,904.314453125,18.5662,13.0,7.999999999999998,0.0,0.1350724954334505,18.701537434096476,0.09551871164374318, detection trail - not linked to this source
1998 MM7,0112370801,L,P0112370801OMS413SIMAGE1000.FTZ,18.574453136560745,0.059482040250204524,0.9924273980397602,0.05437012905126731,992.4273980397602,54.37012905126731,2240.4089387761196,3.1058878801181953,1.1641195137612312,1247.9815407363594,23.33505146404723,401.8115234375,1278.1845703125,18.5662,13.0,9.999999999999998,0.0,0.0,18.574453136560745,0.059482040250204524, detection trail - not linked to this source - plus SRCLIST not overplot
4126 T-1,0727960501,L,P0727960501OMS412SIMAGE2000.FTZ,18.167996878420954,0.03668084130406825,1.4430495663152803,0.04875243349756783,1875.9644362098643,63.37816354683818,3314.066570335999,7.021487557074153,1.7027168162572601,1438.1021341261348,24.368159312668325,204.814453125,1116.6240234375,18.5662,13.0,11.0,0.0,0.0,18.167996878420954,0.03668084130406825, detection trail - not linked to this source - plus SRCLIST not overplot
2000 PD7,0151390101,L,P0151390101OMS012FSIMAGL000.FTZ,19.215984096368246,0.05371212216424338,0.5496501634507698,0.027191579469469637,2748.250817253849,135.9578973473482,12503.563749618828,17.632583526011263,2.699731731994652,9755.31293236498,63.50139104276983,553.2548828125,1144.927734375,18.5662,13.0,8.0,0.0,0.13114407160330654,19.34712816797155,0.07202557219466924, detection trail - not linked to this source 
