observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,FITS_FILE,DECISION
0148560501,2000 OR6,157.6946,5.5067925,157.99107,5.4441624,L,2,,N
0764010101,2001 FK171,342.1942,-19.474705,342.59616,-19.297186,L,3,,N
0743830601,2001 EK17,38.600807,-9.06181,38.7238,-8.860518,L,2,P0743830601OMS414SIMAGE1000.FTZ,D
0744440301,2001 FV5,191.39912,2.5558758,191.87834,2.3213742,L,3,,N
0112370801,1998 MM7,34.620132,-5.1730046,34.839783,-5.204972,L,3,P0112370801OMS416SIMAGE1000.FTZ,D
0112370801,1998 MM7,34.620132,-5.1730046,34.839783,-5.204972,L,3,P0112370801OMS413SIMAGE1000.FTZ,D
0780690201,2000 GX53,262.13986,-14.290654,262.26746,-14.233444,L,2,,N
0692510201,2000 KM15,142.01408,18.72836,142.15378,18.700712,L,2,,N
0727960501,4126 T-1,68.79097,24.435446,68.93179,24.46951,L,2,P0727960501OMS412SIMAGE2000.FTZ,D
0502020201,2000 AE146,24.367182,-13.074439,24.758108,-13.064056,L,4,,N
0126700801,2000 FY34,187.24821,2.0468264,187.34375,1.9727638,L,2,,N
0740060501,2000 PD4,40.57756,0.12198772,40.715694,0.22084066,L,4,,N
0151390101,2000 PD7,160.25598,6.1528025,160.37317,6.1153045,L,2,P0151390101OMS012FSIMAGL000.FTZ,D
0764670101,2001 QX222,50.86915,33.982105,51.12846,34.122234,L,2,,N
0150870401,2000 NG21,158.96645,-3.7323236,158.98512,-3.771525,L,2,,N
0606430501,2000 QP190,210.88704,-0.06344414,210.94637,-0.0738562,L,2,,N
0300480301,1994 YO1,133.53448,20.169092,133.65938,20.117367,L,4,,N
0302380201,1998 VT19,207.15486,-3.8346252,207.2016,-3.8605118,L,2,,N
0820460101,1999 FC32,177.96208,3.9729474,178.01137,3.9429622,L,4,,N
0207090201,1999 LN,345.5919,8.934056,345.84363,8.909293,L,2,,N
0154150501,1999 XW114,283.10657,-8.719822,283.19324,-8.711876,L,2,,N
0743050301,2000 SL1,13.221125,12.732472,14.0806875,12.770185,L,3,,N
0763940601,1978 VF5,180.06927,8.471926,180.23744,8.422981,L,2,,N
0760350301,1997 AD,345.72107,8.827498,345.81656,8.811013,L,2,,N
0744440101,1999 XJ192,191.3578,2.2835603,191.65694,2.1862772,L,4,,N
0724220101,Zilkha,261.89172,-38.277596,262.06363,-38.22878,L,2,,N
0744440501,2000 AS68,191.43307,2.4543583,191.66988,2.4670115,L,2,,N
0727761301,2000 ES87,284.17743,-37.884468,284.38718,-37.94412,L,2,,N
0205180201,2000 ER138,75.95366,2.1540852,75.99282,2.1853442,L,2,,N
0800050101,1999 XT89,200.0838,-2.4072487,200.26468,-2.4331448,L,2,,N
0653040201,2000 AY125,117.77054,17.80274,117.989586,17.746426,L,2,,N
0743950601,2000 CN19,146.22408,10.021017,146.42366,9.938123,L,2,,N
0502050101,2000 KO61,183.4649,14.076695,183.69485,14.050979,L,2,,N
0762250301,2000 OF7,265.72955,-28.97678,266.3007,-28.880594,L,4,,N
0810840101,2001 AH46,284.08618,-38.090523,284.49405,-37.943512,L,3,,N
