sso_name,observation_id,n,x_type,ra1,dec_1,ra2,dec2
Barbara,0781040101,4,2.0,50.011716291666666,0.4633834722222223,50.32284225,0.31945791666666673
Raissa,0763100101,3,2.0,272.40104349999996,-26.10797105555556,272.7722154583334,-26.094340916666674
Devosa,0407030101,3,3.0,5.743604791666666,0.1356177222222222,5.810544291666667,0.18230966666666662
2006 BQ6,0402360101,3,3.0,27.575139625000002,32.19779597222221,20.135791708333333,33.516571694444444
Siegena,0694510101,3,2.0,212.1532160416667,-3.086574138888889,212.32035216666668,-3.0783431944444444
Lipschutz,0744440301,2,2.0,191.58721854166672,2.5241558888888886,192.09926583333336,2.3156649999999996
Lomberg,0727571501,2,2.0,58.483860083333326,-0.17843608333333327,58.722011708333326,-0.2703050277777778
1993 SG1,0653950201,2,4.0,82.50929945833333,10.551114194444445,82.71532770833333,10.477222416666665
2000 RD50,0723800701,2,3.5,180.97818462499993,1.9115059722222223,181.30822537499995,1.7109109722222227
Bentengahama,0109661401,2,2.0,26.09881745833333,-4.507672555555557,26.24300299999999,-4.513528472222221
Lynn,0744490601,2,2.0,339.13777949999997,-12.768449388888888,339.33379858333325,-12.629909611111115
Boyan,0762520301,2,2.0,135.9593700416667,15.101157972222218,136.18655537499995,15.036995305555557
Masciarelli,0402430301,2,2.0,266.33263195833337,-28.935906305555555,266.5198224583333,-28.987437555555555
1998 HF34,0692330501,2,2.0,171.34793316666665,14.555085694444445,171.42782741666664,14.53439111111111
1998 HJ7,0695290101,2,2.0,37.05187591666666,-9.281892888888889,37.59870329166666,-9.002428555555555
1999 WA3,0748190101,2,2.0,28.89897345833333,5.562144527777776,29.005090666666664,5.689929777777778
Milone,0136550101,2,4.0,187.13155920833333,2.209953416666667,187.24304962499994,2.1881029444444446
Chesneau,0302580701,2,4.0,326.4374095416667,4.212535,326.50233225,4.446862
Mucha,0300240101,2,2.0,139.65081904166667,16.330862694444445,139.72374879166665,16.316349638888887
