target_name,rocks_number,taxonomy_class,taxonomy_family,n_frames,uvw1_minus_vpred,uvw1_minus_vpred_err_phot,solar_uvw1_ab_minus_v,delta_uv_solar,reflectance_uv_v,reflectance_err_phot,reflectance_err_external_lo,reflectance_err_external_hi,pv,puvw1_proxy,puvw1_proxy_err_phot,diameter_km,snr_raw_median,snr_raw_min,snr_raw_max
1996 UT,8415,B,B,2,3.010563401410144,0.16126850129925688,2.8466,0.16396340141014543,0.8598340499291378,0.12771440059791764,0.2654505390955124,0.38400024214375483,0.0714,0.06139215116494044,0.00911880820269132,15.161,4.762105144375095,3.94403060586556,5.58017968288463
Aaltje,677,S,S,1,3.779318162668524,0.049407659642163586,2.8466,0.9327181626685239,0.42355784979877537,0.019274481213681614,0.12240401363292891,0.17215513998152115,0.1689,0.07153892083101315,0.0032554598769908246,37.818,31.45054271764823,31.45054271764823,31.45054271764823
Ada,523,M,OTHER,2,2.895430613593918,0.05256054210460709,2.8466,0.04883061359391627,0.9560217098148409,0.04628105714024286,0.2765523357389501,0.3891125147855583,0.1388,0.13269581332229993,0.006423810731065709,35.351,16.672952951575844,13.239918868363844,20.105987034787844
Ariane,1225,S,S,1,3.6148221824063747,0.25523219518938994,2.8466,0.7682221824063746,0.49284587621522186,0.11585699576488916,0.16633276536503055,0.2510662352154101,0.2987,0.14721306322548677,0.034606484634972394,9.461,4.296963762176324,4.296963762176324,4.296963762176324
Asteropaios,4805,K,K,1,3.4314148373592457,0.3127838791017454,2.8466,0.5848148373592452,0.5835446141254572,0.16811021612358648,0.20926893098569543,0.3262775624535924,0.0488,0.028476977169322314,0.008203778546831022,56.899,3.4943373611690034,3.4943373611690034,3.4943373611690034
Astrometria,25000,X,X,1,3.209232224262042,0.4311399148388798,2.8466,0.3626322242620419,0.7160562013975019,0.2843420053024249,0.290975602918805,0.4901538335813488,0.0452,0.032365740303167086,0.012852258639669606,17.367,2.527172881537305,2.527172881537305,2.527172881537305
Barbara,234,L,L,2,3.523090337118561,0.025446380958533334,2.8466,0.6764903371185604,0.5362951447220495,0.012569140182489488,0.1541296986729775,0.21629116371022328,0.1853,0.09937549031699577,0.002329061675815302,46.3,159.911260295999,155.75800348011833,164.06451711187964
Brouwer,1746,D,D,1,2.918666808042022,0.14154736674222834,2.8466,0.07206680804202259,0.9357789610111272,0.12199744947568643,0.28440100680265445,0.408574587053233,0.0478,0.04473023433633189,0.005831478084937811,61.933,7.9271207115981035,7.9271207115981035,7.9271207115981035
Chesneau,6065,,UNK,1,3.4052140473605874,0.10704521614320425,2.8466,0.5586140473605874,0.5977978944663095,0.058938261930165575,0.1774224719379156,0.2523049028831602,0.2847,0.17019306055455832,0.01677972317151814,5.35,10.795436699719513,10.795436699719513,10.795436699719513
Chrisclark,6723,C,C,1,2.7244327117908362,0.21359892872335265,2.8466,-0.12216728820916378,1.119094896726426,0.22016164703081467,0.3622383608277028,0.5356089057478555,0.0494,0.055283287898285446,0.010875985363322245,19.089,5.15551853172532,5.15551853172532,5.15551853172532
Deflotte,1295,C,C,2,2.783553325022434,0.06553621228258277,2.8466,-0.06304667497756489,1.0597872003533368,0.06396990229518303,0.30799737994142296,0.43417943704723116,0.0351,0.037198530732402126,0.0022453435705609244,47.966,14.514063990507076,11.979555655265697,17.048572325748456
Epstein,2928,X,X,1,3.4345743768674843,0.23973769182192964,2.8466,0.5879743768674843,0.5818489423914395,0.12847607165225663,0.19328314135086122,0.2894274047688239,0.1161,0.06755266221164612,0.014916071918826995,17.025,4.5807671931761185,4.5807671931761185,4.5807671931761185
Flagstaff,2118,S,S,1,3.0130930552290245,0.1617411532403266,2.8466,0.16649305522902447,0.8578330568832753,0.12779062473916897,0.2649367577458045,0.38332421556426577,0.2551,0.21883321281092352,0.032599388370962004,11.434,7.02252150730714,7.02252150730714,7.02252150730714
Fredtreasure,13859,D,D,1,3.4520107272918032,0.10329154961208974,2.8466,0.6054107272918032,0.5725793867697844,0.05447235882547212,0.16955413642740347,0.24088615633240895,0.0802,0.0459208668189367,0.0043686831778028635,15.685,11.276474758592203,11.276474758592203,11.276474758592203
Hilaritas,996,B,B,1,3.2169365993179184,0.16298912141264738,2.8466,0.3703365993179184,0.7109930578207037,0.10673323162370156,0.21981454701687664,0.3181870002440349,0.0811,0.05766153698925907,0.008656065084682198,27.222,6.826569326860573,6.826569326860573,6.826569326860573
Ivanka,8573,C,C,1,2.95221485002072,0.17120795261940372,2.8466,0.10561485002072013,0.9073065789504652,0.14307167901325477,0.28247088361811545,0.41016813377210803,0.1605,0.14562270592154966,0.02296300448162739,9.7,6.48794454579817,6.48794454579817,6.48794454579817
Jepejacobsen,12352,X,X,1,2.8511670366889237,0.20921323365978103,2.8466,0.004567036688924109,0.9958024382535657,0.19188367052725663,0.32097074669640424,0.47363432418359297,0.1114,0.11093239162144722,0.02137584089673639,15.781,5.267500115939388,5.267500115939388,5.267500115939388
Kaneko,4717,K,K,1,3.2912996083206387,0.28336297326469584,2.8466,0.4446996083206387,0.6639267342412292,0.1732762089170865,0.23076022460767065,0.35369281537058583,0.1184,0.07860892533416154,0.020515903135783043,19.006,3.863405817932989,3.863405817932989,3.863405817932989
Lictoria,1107,P,OTHER,1,3.122911688892657,0.06305146051635876,2.8466,0.2763116888926569,0.7753098908842483,0.04502421560485831,0.2251048037733827,0.31720168522523073,0.0496,0.038455370587858716,0.002233201094000972,73.783,20.81820823063651,20.81820823063651,20.81820823063651
Lucubratio,3021,,UNK,2,3.325372556484027,0.14985692513322046,2.8466,0.4787725564840266,0.6434146977267974,0.08880623835173478,0.19680890801551154,0.2835380708848465,0.0547,0.03519478396565581,0.004857701237839892,21.9,5.1890714455017175,4.869459320279293,5.508683570724143
Pesonen,11263,C,C,1,2.4553894840817243,0.23032783896566783,2.8466,-0.3912105159182757,1.4337855737988685,0.3041629553348196,0.47180046406743825,0.7031924842166848,0.0451,0.06466372937832897,0.013717749285600362,10.73,4.770887822675981,4.770887822675981,4.770887822675981
Pluto,134340,,UNK,28,3.362760994897859,0.0094159504397185,2.8466,0.5161609948978598,0.621635205284312,0.005391075897524538,0.17834585904014588,0.25009864467837317,0.5201,0.3233124702683707,0.002803898574302512,2374.0,30.777457878668578,29.568216038647876,34.16526438168811
