slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,258,154.1552610090386,369.9954435313935,11.552078532370803,13.0,6.0,-0.7472487425264698,0.23138077557086945,0.01817505806684494,0.2615006799240269,0.033830385078315144,0.8848190208839681,0.13286387486291398,P0793183801OMS059SIMAGE0000.FTZ,P0793183801OMS059FSWSRLIL000.FTZ,0793183801,L,Pluto
2,269,129.66473412544462,322.0742446321414,11.552078532370803,13.0,6.0,-0.7472487425264698,0.12504257261753082,0.015299070626497269,0.15235673541015712,0.032845388771595936,0.8207223151697608,0.21450939523030788,P0793183801OMS059SIMAGE0000.FTZ,P0793183801OMS059FSWSRLIL000.FTZ,0793183801,L,Pluto
3,254,164.5826397112539,320.1092917244344,11.552078532370803,13.0,6.0,-0.7472487425264698,0.14100244641304016,0.016241932287812233,0.14111898793372496,0.033622789539289676,0.9991741613060637,0.0008970134144921428,P0793183801OMS059SIMAGE0000.FTZ,P0793183801OMS059FSWSRLIL000.FTZ,0793183801,L,Pluto
4,168,281.42598850446996,409.12262566406326,11.552078532370803,13.0,6.0,-0.7472487425264698,1.2223111391067505,0.04228214547038078,1.1936248098496156,0.04578248638075597,1.0240329532533334,-0.025784831018014265,P0793183801OMS059SIMAGE0000.FTZ,P0793183801OMS059FSWSRLIL000.FTZ,0793183801,L,Pluto
5,77,402.40957700603326,379.5192897122661,11.552078532370803,13.0,6.0,-0.7472487425264698,0.11672387272119522,0.015725184231996536,0.11679069213776593,0.03352679028643845,0.9994278703606629,0.000621359629327878,P0793183801OMS059SIMAGE0000.FTZ,P0793183801OMS059FSWSRLIL000.FTZ,0793183801,L,Pluto
