slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,245,193.448107242931,323.32371049333545,9.133989582957586,13.0,6.0,-0.6778337158676256,0.21984843909740448,0.01819852739572525,0.24689382769166174,0.032045048896401654,0.8904574130219511,0.1259671156333376,P0793183801OMS063SIMAGE0000.FTZ,P0793183801OMS063FSWSRLIL000.FTZ,0793183801,L,Pluto
2,265,154.17068150951786,369.8031748466666,9.133989582957586,13.0,6.0,-0.6778337158676256,0.20972317457199097,0.017711730673909187,0.2861366850387217,0.030842225946172287,0.7329475231168279,0.33731779612785256,P0793183801OMS063SIMAGE0000.FTZ,P0793183801OMS063FSWSRLIL000.FTZ,0793183801,L,Pluto
3,257,165.4956132344377,264.156841177287,9.133989582957586,13.0,6.0,-0.6778337158676256,0.08838547766208649,0.014481126330792904,0.07205731853392604,0.030890215448143514,1.2265995940505727,-0.22175704154877882,P0793183801OMS063SIMAGE0000.FTZ,P0793183801OMS063FSWSRLIL000.FTZ,0793183801,L,Pluto
4,136,339.47911549829,194.58265607950122,9.133989582957586,13.0,6.0,-0.6778337158676256,0.1113194152712822,0.015593954361975193,0.12899599316435637,0.03017040035364011,0.8629680080795061,0.1600132603413797,P0793183801OMS063SIMAGE0000.FTZ,P0793183801OMS063FSWSRLIL000.FTZ,0793183801,L,Pluto
5,241,196.8490196342243,251.66090168649453,9.133989582957586,13.0,6.0,-0.6778337158676256,0.08610276877880096,0.01498289406299591,0.09352618546377625,0.030121546571461596,0.9206273981114043,0.08979026133175907,P0793183801OMS063SIMAGE0000.FTZ,P0793183801OMS063FSWSRLIL000.FTZ,0793183801,L,Pluto
