slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,175,285.0768029053786,311.4530632336995,9.913925454040049,13.0,6.0,-0.7784052703921118,1.302263855934143,0.043973710387945175,1.2426877044986948,0.046790368317294766,1.0479413703215816,-0.050842464114302516,P0793183801OMS072SIMAGE0000.FTZ,P0793183801OMS072FSWSRLIL000.FTZ,0793183801,L,Pluto
2,201,250.4948423674996,358.5405912587843,9.913925454040049,13.0,6.0,-0.7784052703921118,0.780789315700531,0.036800604313611984,0.7530732256677778,0.03935402335900763,1.0368039774726772,-0.039241636514796015,P0793183801OMS072SIMAGE0000.FTZ,P0793183801OMS072FSWSRLIL000.FTZ,0793183801,L,Pluto
3,266,164.85280883376328,203.29960770154037,9.913925454040049,13.0,6.0,-0.7784052703921118,6.140597343444824,0.07795608788728714,6.072464180605645,0.07964830966666979,1.0112200188939415,-0.012114146632548931,P0793183801OMS072SIMAGE0000.FTZ,P0793183801OMS072FSWSRLIL000.FTZ,0793183801,L,Pluto
4,32,472.51638629689694,274.0256418275509,9.913925454040049,13.0,6.0,-0.7784052703921118,0.6281328797340393,0.033935658633708954,0.5837122153220115,0.03716256367497886,1.07610028237549,-0.0796318633931266,P0793183801OMS072SIMAGE0000.FTZ,P0793183801OMS072FSWSRLIL000.FTZ,0793183801,L,Pluto
5,240,202.58338287570064,344.1226460488001,9.913925454040049,13.0,6.0,-0.7784052703921118,0.6857728958129883,0.03569694608449936,0.6392215140070006,0.038835910081420226,1.0728251174059793,-0.07632233209189182,P0793183801OMS072SIMAGE0000.FTZ,P0793183801OMS072FSWSRLIL000.FTZ,0793183801,L,Pluto
