slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,3,709.9891711588348,409.9289918982112,11.02574261735553,13.0,6.0,-2.677945044588986,0.402316153049469,0.021611209958791733,0.40138391870539863,0.025086209576721964,1.0023225503081368,-0.002518753122412944,P0305540501OMS021FSIMAGL000.FTZ,P0305540501OMS021FSWSRLIL000.FTZ,0305540501,L,Pobeda
2,2,874.3755127852295,407.4381780068926,11.02574261735553,13.0,6.0,-2.677945044588986,0.3678082823753357,0.021598005667328835,0.3915533415497944,0.02500154192908238,0.9393567704454414,0.06792357522383133,P0305540501OMS021FSIMAGL000.FTZ,P0305540501OMS021FSWSRLIL000.FTZ,0305540501,L,Pobeda
3,1,887.9266235613525,376.62652010296296,11.02574261735553,13.0,6.0,-2.677945044588986,0.7368471026420593,0.02445024438202381,0.7903149076092221,0.02822159746713453,0.9323462021880519,0.07605698472262121,P0305540501OMS021FSIMAGL000.FTZ,P0305540501OMS021FSWSRLIL000.FTZ,0305540501,L,Pobeda
4,5,525.4752395871492,249.95192015393513,7.0257426173555295,13.0,6.0,-2.677945044588986,0.04137052595615387,0.009074152447283268,0.06807724906230617,0.01798121346662412,0.6076997312022763,0.5407773893744027,P0305540501OMS021FSIMAGL000.FTZ,P0305540501OMS021FSWSRLIL000.FTZ,0305540501,L,Pobeda
