slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,194,250.7094376269664,358.9000919438474,11.332574299717148,13.0,6.0,-0.7853981633974518,0.6884298324584961,0.03609790652990341,0.6836703487189447,0.0411892162614623,1.0069616647094168,-0.007532342913164781,P0793183801OMS076SIMAGE0000.FTZ,P0793183801OMS076FSWSRLIL000.FTZ,0793183801,L,Pluto
2,167,286.34765347109266,311.0319051856898,11.332574299717148,13.0,6.0,-0.7853981633974518,1.3215148448944092,0.04413612186908722,1.274713363802423,0.0476787484346762,1.0367152980591487,-0.03914876788214873,P0793183801OMS076SIMAGE0000.FTZ,P0793183801OMS076FSWSRLIL000.FTZ,0793183801,L,Pluto
3,214,225.8539808418189,315.2607666182354,11.332574299717148,13.0,6.0,-0.7853981633974518,0.29834723472595215,0.03079918399453163,0.3368536348536906,0.03624209571883861,0.8856880373445775,0.13179805283729903,P0793183801OMS076SIMAGE0000.FTZ,P0793183801OMS076FSWSRLIL000.FTZ,0793183801,L,Pluto
4,251,181.8596860171989,293.79438969313514,11.332574299717148,13.0,6.0,-0.7853981633974518,0.09348353743553162,0.014864981174468994,0.1539925866458137,0.0340008889309908,0.6070651806800661,0.541911690392874,P0793183801OMS076SIMAGE0000.FTZ,P0793183801OMS076FSWSRLIL000.FTZ,0793183801,L,Pluto
5,108,369.28570780727114,309.0270092867889,11.332574299717148,13.0,6.0,-0.7853981633974518,0.989831268787384,0.03931434825062752,0.9870109828921537,0.04243768607713658,1.0028574007220936,-0.0030979594645034335,P0793183801OMS076SIMAGE0000.FTZ,P0793183801OMS076FSWSRLIL000.FTZ,0793183801,L,Pluto
