slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,1,883.8197480808703,376.8691034451963,15.785186856645254,13.0,12.0,0.2760970193954376,0.8071064352989197,0.02487943321466446,0.8939619347313698,0.03158124991514068,0.902842060653791,0.11097054167414439,P0305540501OMS006FSIMAGL000.FTZ,P0305540501OMS006FSWSRLIL000.FTZ,0305540501,L,Pobeda
2,2,870.2060714416318,407.6849107188648,10.785186856645254,13.0,12.0,0.2760970193954376,0.24198248982429504,0.020919211208820343,0.27387868972494595,0.024025657968091058,0.8835389495521394,0.13443575120879894,P0305540501OMS006FSIMAGL000.FTZ,P0305540501OMS006FSWSRLIL000.FTZ,0305540501,L,Pobeda
3,3,705.6857579376681,409.80124234002767,9.785186856645254,13.0,12.0,0.2760970193954376,0.41731324791908264,0.021814990788698196,0.4135191218747162,0.02342319636629812,1.0091752130522176,-0.00991643753386635,P0305540501OMS006FSIMAGL000.FTZ,P0305540501OMS006FSWSRLIL000.FTZ,0305540501,L,Pobeda
4,5,521.259395662772,249.4578758734599,7.785186856645254,13.0,12.0,0.2760970193954376,0.06190115585923195,0.009472752921283245,0.0896968174376722,0.019033475810787848,0.6901154090806546,0.4026956886072042,P0305540501OMS006FSIMAGL000.FTZ,P0305540501OMS006FSWSRLIL000.FTZ,0305540501,L,Pobeda
