slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,164,302.64391411736017,331.13021763496255,8.888291899242267,13.0,6.0,-0.7525461373144284,0.17029906809329987,0.017658330500125885,0.20430278473155797,0.03279896912127539,0.8335621480493425,0.19765503713434412,P0793183801OMS061SIMAGE0000.FTZ,P0793183801OMS061FSWSRLIL000.FTZ,0793183801,L,Pluto
2,174,282.6044642762026,312.9731730093703,8.888291899242267,13.0,6.0,-0.7525461373144284,1.308125615119934,0.04367135092616081,1.203110244166388,0.04533815027021315,1.0872865736641693,-0.09086006297124166,P0793183801OMS061SIMAGE0000.FTZ,P0793183801OMS061FSWSRLIL000.FTZ,0793183801,L,Pluto
3,277,130.32937379212268,322.15207422961964,8.888291899242267,13.0,6.0,-0.7525461373144284,0.1312020868062973,0.01549531426280737,0.153882020268388,0.029398853551098083,0.8526147926669129,0.17311784179000367,P0793183801OMS061SIMAGE0000.FTZ,P0793183801OMS061FSWSRLIL000.FTZ,0793183801,L,Pluto
4,253,181.39715940732202,259.6496123602844,8.888291899242267,13.0,6.0,-0.7525461373144284,1.3498644828796387,0.043797485530376434,1.2783312813657928,0.04490014804753077,1.055958265714517,-0.05911688515343183,P0793183801OMS061SIMAGE0000.FTZ,P0793183801OMS061FSWSRLIL000.FTZ,0793183801,L,Pluto
5,262,165.08812279280568,203.1518009274006,8.888291899242267,13.0,6.0,-0.7525461373144284,6.26800012588501,0.07869201898574829,6.14043463730475,0.07917273669459414,1.0207746676115181,-0.02232470924933066,P0793183801OMS061SIMAGE0000.FTZ,P0793183801OMS061FSWSRLIL000.FTZ,0793183801,L,Pluto
