slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,5,425.31850461864224,660.8147167176608,11.260681796191093,9.0,8.0,-1.1025615940046951,0.5732991695404053,0.015138579532504082,0.6060737939098252,0.01549727197658871,0.945923046502327,0.06036048309380205,P0670120401OMS413SIMAGE1000.FTZ,P0670120401OMS413SWSRLI1000.FTZ,0670120401,L,Chrisclark
2,14,345.20911203401295,633.4872948474624,8.260681796191093,9.0,8.0,-1.1025615940046951,0.6191045641899109,0.01538761518895626,0.6210203242901101,0.014495952933227642,0.9969151410585649,0.0033545198138535018,P0670120401OMS413SIMAGE1000.FTZ,P0670120401OMS413SWSRLI1000.FTZ,0670120401,L,Chrisclark
3,1,496.2940046876066,717.4536818957779,8.260681796191093,9.0,8.0,-1.1025615940046951,0.08990538865327835,0.009605718776583672,0.09656628630739697,0.010105503128016178,0.9310225347911262,0.07759951769434692,P0670120401OMS413SIMAGE1000.FTZ,P0670120401OMS413SWSRLI1000.FTZ,0670120401,L,Chrisclark
4,0,527.7213093273289,666.3998258636557,6.260681796191093,9.0,8.0,-1.1025615940046951,0.11136946082115173,0.012077311985194683,0.12273450628656,0.009275604134488505,0.907401383610301,0.10550140713758883,P0670120401OMS413SIMAGE1000.FTZ,P0670120401OMS413SWSRLI1000.FTZ,0670120401,L,Chrisclark
5,4,438.83068032769535,570.7865503957944,7.260681796191093,9.0,8.0,-1.1025615940046951,0.06276483088731766,0.005953568499535322,0.08212252763050092,0.009420327689835488,0.7642827455301843,0.29186486237347853,P0670120401OMS413SIMAGE1000.FTZ,P0670120401OMS413SWSRLI1000.FTZ,0670120401,L,Chrisclark
