slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,4,526.3384866564163,249.4386293534605,6.0,13.0,9.0,0.48193825195762685,0.031053535640239716,0.008922802284359932,0.03393572928264621,0.016594264269940855,0.9150690524903389,0.09636533045143272,P0305540501OMS023FSIMAGL000.FTZ,P0305540501OMS023FSWSRLIL000.FTZ,0305540501,L,Pobeda
2,2,710.8938489902991,409.6302782183733,7.057264992716011,13.0,9.0,0.48193825195762685,0.3764822483062744,0.021379271522164345,0.37743967218999613,0.020443792661255147,0.997463372416136,0.002757607397810391,P0305540501OMS023FSIMAGL000.FTZ,P0305540501OMS023FSWSRLIL000.FTZ,0305540501,L,Pobeda
3,1,875.2618148156055,407.24888286796136,10.05726499271601,13.0,9.0,0.48193825195762685,0.40230250358581543,0.02181749790906906,0.4079039186141516,0.024316155896025406,0.9862678077539268,0.015012855554038501,P0305540501OMS023FSIMAGL000.FTZ,P0305540501OMS023FSWSRLIL000.FTZ,0305540501,L,Pobeda
4,0,889.0680807671796,376.39847587772294,10.05726499271601,13.0,9.0,0.48193825195762685,0.7949700951576233,0.02476239763200283,0.8425094404428926,0.02740578842093158,0.9435741096737401,0.06305996010855965,P0305540501OMS023FSIMAGL000.FTZ,P0305540501OMS023FSWSRLIL000.FTZ,0305540501,L,Pobeda
