slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,459,166.76604630071313,183.38591326666494,8.70893913647376,6.0,6.0,-0.03091797956304258,0.07698287069797516,0.01542010996490717,0.07031648365965151,0.022171538616614445,1.0948054665331466,-0.0983423931076685,P0412592501OMS006FSIMAGL000.FTZ,P0412592501OMS006FSWSRLIL000.FTZ,0412592501,L,1996 UT
2,466,155.69233416357514,207.0304894954682,8.70893913647376,6.0,6.0,-0.03091797956304258,0.07168150693178177,0.015232705511152744,0.07005367945917333,0.021192664813093162,1.0232368590083425,-0.024940439738882127,P0412592501OMS006FSIMAGL000.FTZ,P0412592501OMS006FSWSRLIL000.FTZ,0412592501,L,1996 UT
3,445,187.44267192822792,165.32552869580093,8.70893913647376,6.0,6.0,-0.03091797956304258,0.10043729841709137,0.01621345430612564,0.1121420454616075,0.022700507269426858,0.8956257040226423,0.11968362718370543,P0412592501OMS006FSIMAGL000.FTZ,P0412592501OMS006FSWSRLIL000.FTZ,0412592501,L,1996 UT
4,437,192.89862029294056,228.06695084116024,8.70893913647376,6.0,6.0,-0.03091797956304258,0.08949082344770432,0.016797667369246483,0.12313378097386879,0.022711724226953472,0.7267771909537634,0.3464967774274753,P0412592501OMS006FSIMAGL000.FTZ,P0412592501OMS006FSWSRLIL000.FTZ,0412592501,L,1996 UT
5,451,181.30357256404318,240.62555384239204,8.70893913647376,6.0,6.0,-0.03091797956304258,0.15268759429454803,0.01785997673869133,0.15485603121519398,0.023778097438184962,0.9859970780367437,0.015310930178409137,P0412592501OMS006FSIMAGL000.FTZ,P0412592501OMS006FSWSRLIL000.FTZ,0412592501,L,1996 UT
