slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,7,345.6986617393273,256.36241996062006,15.845745683585083,13.0,9.0,0.4932999321890792,2.320280075073242,0.0384184904396534,2.4346035019592773,0.043074005331656666,0.9530422810966829,0.05221957935997307,P0110980101OMS406SIMAGE1000.FTZ,P0110980101OMS406SWSRLI1000.FTZ,0110980101,L,Lucubratio
2,8,274.66415260626087,167.64897193353846,8.845745683585083,13.0,9.0,0.4932999321890792,0.2753400206565857,0.021019024774432182,0.2788194416341727,0.02206254516252284,0.9875208810504964,0.01363428120532594,P0110980101OMS406SIMAGE1000.FTZ,P0110980101OMS406SWSRLI1000.FTZ,0110980101,L,Lucubratio
3,5,491.1053235864142,312.72107053251676,12.845745683585083,13.0,9.0,0.4932999321890792,0.5226953029632568,0.023787731304764748,0.5318765090872674,0.027882257542727124,0.9827380868168702,0.01890553046150379,P0110980101OMS406SIMAGE1000.FTZ,P0110980101OMS406SWSRLI1000.FTZ,0110980101,L,Lucubratio
4,6,352.3941625426621,347.5659255668847,9.845745683585083,13.0,9.0,0.4932999321890792,0.5693467855453491,0.024255577474832535,0.586893368938724,0.02615232459761167,0.9701026041151151,0.03295582401366961,P0110980101OMS406SIMAGE1000.FTZ,P0110980101OMS406SWSRLI1000.FTZ,0110980101,L,Lucubratio
5,3,616.8150538209519,363.1854629586668,7.845745683585083,13.0,9.0,0.4932999321890792,0.11004609614610672,0.010802551172673702,0.12681180606044204,0.0189994511369733,0.8677906226937236,0.15396261787002066,P0110980101OMS406SIMAGE1000.FTZ,P0110980101OMS406SWSRLI1000.FTZ,0110980101,L,Lucubratio
