slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,41,972.6846202576297,891.2879230551594,14.000148724018985,7.0,6.0,-2.980829912963957,0.15791699290275574,0.01293171662837267,0.16601506038035033,0.013639405655597809,0.951220886472339,0.05429655561361542,P0784401201OMS006FSIMAGL000.FTZ,P0784401201OMS006FSWSRLIL000.FTZ,0784401201,L,Jepejacobsen
2,29,1008.8869743742375,913.4156283370825,12.000148724018985,7.0,6.0,-2.980829912963957,0.6046704053878784,0.016124241054058075,0.6114183688930093,0.01582421663738836,0.9889634269291774,0.012049422110530155,P0784401201OMS006FSIMAGL000.FTZ,P0784401201OMS006FSWSRLIL000.FTZ,0784401201,L,Jepejacobsen
3,21,1047.1893568845403,859.4631271731234,10.000148724018985,7.0,6.0,-2.980829912963957,0.09065525233745575,0.010342959314584732,0.0901990989696509,0.010609018655831958,1.0050571831982305,-0.0054769296175248205,P0784401201OMS006FSIMAGL000.FTZ,P0784401201OMS006FSWSRLIL000.FTZ,0784401201,L,Jepejacobsen
4,37,993.7903592325575,917.5826878394491,7.000148724018985,7.0,6.0,-2.980829912963957,0.06676137447357178,0.006441202946007252,0.07276348668819833,0.009100862660107631,0.9175120312699356,0.09347058041479187,P0784401201OMS006FSIMAGL000.FTZ,P0784401201OMS006FSWSRLIL000.FTZ,0784401201,L,Jepejacobsen
5,71,791.9594403970963,846.4235274023773,11.000148724018985,7.0,6.0,-2.980829912963957,0.30123430490493774,0.013893773779273033,0.29679763904767603,0.012896235993454212,1.014948454008925,-0.0161099659483534,P0784401201OMS006FSIMAGL000.FTZ,P0784401201OMS006FSWSRLIL000.FTZ,0784401201,L,Jepejacobsen
