slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,2,710.3570897058422,409.749059234304,11.048938905154134,13.0,9.0,0.5104883219167754,0.41061607003211975,0.021473906934261322,0.4161048253876059,0.024412397042344738,0.9868092004211358,0.014417025150971565,P0305540501OMS022FSIMAGL000.FTZ,P0305540501OMS022FSWSRLIL000.FTZ,0305540501,L,Pobeda
2,1,874.7765890777869,407.2685772969367,13.048938905154134,13.0,9.0,0.5104883219167754,0.37481698393821716,0.021531468257308006,0.3955000697223654,0.026959245576592166,0.9477039642529838,0.05831825678556341,P0305540501OMS022FSIMAGL000.FTZ,P0305540501OMS022FSWSRLIL000.FTZ,0305540501,L,Pobeda
3,0,888.3803860114302,376.447158008275,14.048938905154134,13.0,9.0,0.5104883219167754,0.8200966715812683,0.024958601221442223,0.8984300046407954,0.030624521768432934,0.9128108671183063,0.09904799558333247,P0305540501OMS022FSIMAGL000.FTZ,P0305540501OMS022FSWSRLIL000.FTZ,0305540501,L,Pobeda
4,3,574.8535167737532,655.4571573814695,12.048938905154134,13.0,9.0,0.5104883219167754,1.2404521703720093,0.02901182509958744,1.2546031543990397,0.03446008977999545,0.9887207488858827,0.01231587955833653,P0305540501OMS022FSIMAGL000.FTZ,P0305540501OMS022FSWSRLIL000.FTZ,0305540501,L,Pobeda
