slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,5,209.9410540819427,447.20354771657344,15.306823409356301,13.0,6.0,-0.12565033060984418,0.09412344545125961,0.010600046254694462,0.09486705500081727,0.010999608829481288,0.9921615617818931,0.008544005911805597,P0300240101OMS008SIMAGE0000.FTZ,P0300240101OMS008FSWSRLIL000.FTZ,0300240101,L,Mucha
2,7,129.63573009938,352.8583544038481,15.306823409356301,13.0,6.0,-0.12565033060984418,0.2557451128959656,0.015729565173387527,0.2310727818814055,0.012214454395591995,1.1067729864749833,-0.11014637642521694,P0300240101OMS008SIMAGE0000.FTZ,P0300240101OMS008FSWSRLIL000.FTZ,0300240101,L,Mucha
3,2,357.3346836664016,475.40677431183065,15.306823409356301,13.0,6.0,-0.12565033060984418,0.05004458874464035,0.007294660899788141,0.05818313507233851,0.01060850452105923,0.8601219010013884,0.16359998473837578,P0300240101OMS008SIMAGE0000.FTZ,P0300240101OMS008FSWSRLIL000.FTZ,0300240101,L,Mucha
4,3,344.64931786800963,724.6954958301678,8.306823409356301,13.0,6.0,-0.12565033060984418,0.06120814010500908,0.00737631693482399,0.05425974368487353,0.008073213759310055,1.1280580398700375,-0.130828612918902,P0300240101OMS008SIMAGE0000.FTZ,P0300240101OMS008FSWSRLIL000.FTZ,0300240101,L,Mucha
5,8,122.7815562310106,568.7309657301807,15.306823409356301,13.0,6.0,-0.12565033060984418,2.201446533203125,0.02628694474697113,2.014008333534731,0.024204647383784902,1.0930672413551668,-0.09661719730625858,P0300240101OMS008SIMAGE0000.FTZ,P0300240101OMS008FSWSRLIL000.FTZ,0300240101,L,Mucha
