slot,srclist_index,x,y,width,height,semi_out,theta,rate_srclist,rate_err_srclist,count_rate_rect,count_rate_rect_err,f_apcorr_i,apcorr_mag_i,fits_name,srclist_name,obs_id,filter,target
1,136,339.3571519761112,195.261776187345,12.011613325668991,13.0,6.0,-0.7272626879966896,0.10707004368305206,0.015683747828006744,0.11823912126713032,0.035272874541056244,0.9055382223380648,0.10773303399830707,P0793183801OMS081SIMAGE0000.FTZ,P0793183801OMS081FSWSRLIL000.FTZ,0793183801,L,Pluto
2,251,181.68097860132545,294.1811214163367,12.011613325668991,13.0,6.0,-0.7272626879966896,0.10132187604904175,0.015081843361258507,0.15231887907541197,0.03440840102792026,0.6651957831102343,0.44262628144007843,P0793183801OMS081SIMAGE0000.FTZ,P0793183801OMS081FSWSRLIL000.FTZ,0793183801,L,Pluto
3,123,356.9743325460217,423.8859561669814,12.011613325668991,13.0,6.0,-0.7272626879966896,0.18231751024723053,0.0174262598156929,0.186812693650141,0.035321351281172905,0.9759374841447929,0.026445002863279724,P0793183801OMS081SIMAGE0000.FTZ,P0793183801OMS081FSWSRLIL000.FTZ,0793183801,L,Pluto
4,173,281.82311872173085,409.8433024164002,12.011613325668991,13.0,6.0,-0.7272626879966896,1.1264798641204834,0.04180379584431648,1.127315336987789,0.04530411179231616,0.9992588827279347,0.0008049561745724596,P0793183801OMS081SIMAGE0000.FTZ,P0793183801OMS081FSWSRLIL000.FTZ,0793183801,L,Pluto
5,200,244.6208268832964,442.4475169961445,12.011613325668991,13.0,6.0,-0.7272626879966896,0.10264870524406433,0.014701010659337044,0.11081277295249697,0.031855982548353076,0.9263255715843118,0.08309086727986911,P0793183801OMS081SIMAGE0000.FTZ,P0793183801OMS081FSWSRLIL000.FTZ,0793183801,L,Pluto
