"observation_id";"sso_name";"ra_deg_1";"dec_deg_1";"ra_deg_2";"dec_deg_2";"filter";"xmatch_type"
"0744440301";"2001 FV5";191.39912;2.5558758;191.87834;2.3213742;V;3
"0112370801";"1998 MM7";34.620132;-5.1730046;34.839783;-5.204972;V;3
"0203170301";"1999 CF48";187.9578;0.17039056;188.19814;0.119250916;V;2
"0670120401";"2000 EZ183";343.1809;-17.708168;343.38525;-17.55519;V;2
"0780690201";"2000 GX53";262.13986;-14.290654;262.26746;-14.233444;V;2
"0692510201";"2000 KM15";142.01408;18.72836;142.15378;18.700712;V;2
"0727960501";"4126 T-1";68.79097;24.435446;68.93179;24.46951;V;2
"0502020201";"2000 AE146";24.367182;-13.074439;24.758108;-13.064056;V;4
"0126700301";"2000 CO93";187.22116;2.066578;187.41017;1.9226633;V;2
"0126700801";"2000 FY34";187.24821;2.0468264;187.34375;1.9727638;V;2
"0092850201";"2000 GK127";324.52588;-14.494205;324.73306;-14.411692;V;2
"0502120101";"2000 HZ1";184.84637;5.76684;185.37193;5.6186867;V;2
"0740060501";"2000 PD4";40.57756;0.12198772;40.715694;0.22084066;V;4
"0151390101";"2000 PD7";160.25598;6.1528025;160.37317;6.1153045;V;2
"0764670101";"2001 QX222";50.86915;33.982105;51.12846;34.122234;V;2
"0402070301";"1979 MG5";199.91554;-11.544666;200.12724;-11.621911;V;4
"0502120101";"1999 FJ29";184.79161;5.784857;185.2994;5.594409;V;2
"0126700301";"2000 FE35";187.29439;1.9250547;187.39633;1.8434508;V;2
"0402070301";"2000 HO53";199.93431;-11.693912;200.1171;-11.755346;V;4
"0150870401";"2000 NG21";158.96645;-3.7323236;158.98512;-3.771525;V;2
"0606430501";"2000 QP190";210.88704;-0.06344414;210.94637;-0.0738562;V;2
"0802560101";"2002 JU23";185.003;2.1092741;185.07542;2.0639865;V;2
"0300480301";"1994 YO1";133.53448;20.169092;133.65938;20.117367;V;4
"0128531201";"1995 QM5";74.4445;20.526934;74.54129;20.536337;V;2
"0302380201";"1998 VT19";207.15486;-3.8346252;207.2016;-3.8605118;V;2
"0820460101";"1999 FC32";177.96208;3.9729474;178.01137;3.9429622;V;4
"0744440401";"1999 JL57";191.50868;2.4747117;191.85487;2.3927882;V;4
"0207090201";"1999 LN";345.5919;8.934056;345.84363;8.909293;V;2
"0154150501";"1999 XW114";283.10657;-8.719822;283.19324;-8.711876;V;2
"0151390101";"2000 GL33";160.07166;6.3175616;160.2835;6.290006;V;2
"0744490401";"2000 VM45";338.7313;-12.776138;339.07858;-12.565105;V;2
"0748190101";"2001 XN157";29.098288;5.5761395;29.247818;5.678328;V;2
"0762520301";"2001 XW209";135.82521;15.22693;136.05777;15.174949;V;2
"0723800701";"2000 RD50";180.97818;1.9115059;181.30823;1.7109109;V;4
"0743050301";"2000 SL1";13.221125;12.732472;14.0806875;12.770185;V;3
"0692510101";"2000 SF255";187.95825;1.7043368;188.00163;1.6828977;V;2
"0601390801";"5043 T-3";310.79697;-10.604152;310.99585;-10.623788;V;2
"0763940601";"1978 VF5";180.06927;8.471926;180.23744;8.422981;V;2
"0743950401";"1992 EN29";146.66058;9.8793955;146.80449;9.809016;V;2
"0760350301";"1997 AD";345.72107;8.827498;345.81656;8.811013;V;2
"0744440101";"1999 XJ192";191.3578;2.2835603;191.65694;2.1862772;V;4
"0203170301";"2001 CP3";188.14157;0.20357445;188.5716;0.01728736;V;2
"0724220101";Zilkha;261.89172;-38.277596;262.06363;-38.22878;V;2
"0554680101";"1997 EK12";198.71007;-16.424686;199.04062;-16.623041;V;2
"0744440501";"2000 AS68";191.43307;2.4543583;191.66988;2.4670115;V;2
"0727761301";"2000 ES87";284.17743;-37.884468;284.38718;-37.94412;V;2
"0205180201";"2000 ER138";75.95366;2.1540852;75.99282;2.1853442;V;2
"0743950501";"2001 BS63";146.1865;9.825231;146.38377;9.748929;V;4
"0744440401";"2001 FD53";191.43277;2.5772293;191.84206;2.400916;V;3
