target_name,observation_id,filter,fits_name,mag_ab,mag_err,mag_ab_apcorr,mag_ab_apcorr_err,count_rate,count_rate_err,net_counts,net_counts_err,aper_counts,bkg_per_pix,bkg_rms_per_pix,bkg_counts_ap,bkg_counts_ap_err,A_ap_eff,A_bg_eff,zp_ab,trail_height_pix,trail_semi_out_pix,trail_semi_in_pix,tds_corr,c2,f_apcorr,apcorr_mag,c1,c1_err,c1_detail_csv,coi_factor,rate_bkg_6,rate_tot_6,rate_tot_6_coi,rate_bkg_6_coi,count_rate_coi,count_rate_final,v_mag_1,v_mag_1_corrected,mlim_obs
Hektor,0165972001,V,P0165972001OMS006FSIMAGV000.FTZ,15.02299895469152,0.02043630395029168,15.02299895469152,0.02043630395029168,12.377294795177013,0.13364859030146445,12377.294795177013,133.64859030146445,16609.007866652682,31.141476594640853,5.365332905972405,4231.7130714756695,35.396861766490176,135.88671875,424.24609375,17.923,11.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0049767170324486,0.013784626910033895,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Hektor_P0165972001OMS006FSIMAGV000.csv,1.162033592557546,5.001115448107609,17.440008537107417,19.68126312765983,5.226851504010149,14.45441162364968,14.45441162364968,15.1,15.1474,19.236603
1991 SC1,0780670101,V,P0780670101OMS006SIMAGE1000.FTZ,19.003310865546254,0.15137141660763578,19.003310865546254,0.15137141660763578,0.30676179163787903,0.026997049126628665,1147.2891007256676,100.96896373359121,9277.818046055734,97.32607359976139,7.625984732701798,8130.528945330067,30.280581093821855,83.5390625,442.6318359375,17.923,4.0,6.000000000000002,0.0,1.0,1.0,1.0,0.0,1.1142637436613627,0.1202768676696367,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_1991_SC1_P0780670101OMS006SIMAGE1000.csv,1.0816490885940084,7.0652992171985876,7.407112759561278,7.800923782865919,7.431201476300226,0.36972230656569316,0.36972230656569316,18.52,18.5674,20.266552
1991 SC1,0780670101,V,P0780670101OMS007SIMAGE1000.FTZ,18.732414615542265,0.14345925877585883,18.732414615542265,0.14345925877585883,0.43571961155925737,0.05752166937399118,1455.3035026079197,192.12237570913055,28154.3414619267,87.89524150568214,7.421624326897653,26699.03795931878,93.5770580120663,303.759765625,580.3896484375,17.923,13.0,5.999999999999998,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.088997909328337,7.993723939915801,8.429443551475059,8.911199025120672,8.436701279079285,0.4744977460413864,0.4744977460413864,18.52,18.5674,20.266552
Lomberg,0727571501,V,P0727571501OMS008FSIMAGV000.FTZ,19.08761350655111,0.07039358307177547,19.08761350655111,0.07039358307177547,0.31836945590536936,0.020618396364347442,1869.1470756204235,121.05060505508384,12549.105343593284,31.366145917726783,3.69124618129654,10679.958267972861,45.87094549503643,340.4931640625,750.736328125,17.923,8.0,6.0,0.0,1.0,1.0,1.0,0.0,1.0211941180120951,0.0009552574577163234,/Users/eracero/workspace/tfm-viu/results/batch_V/elena/c1corr/c1_details_Lomberg_P0727571501OMS008FSIMAGV000.csv,1.0522402190519513,2.9560436357444893,3.2811606514697633,3.3955807073887034,3.053479507544424,0.34210119984427934,0.34210119984427934,18.28,18.3274,20.990757
Cevenola,0723801601,V,P0723801601OMS006FSIMAGV000.FTZ,17.018627580303274,0.04948894879302865,17.018627580303274,0.04948894879302865,1.7868010500563505,0.08089913115130122,7147.204200225402,323.5965246052049,79917.3044710923,27.890207654352057,3.482802596385671,72770.1002708669,157.47192214955226,2609.1630859375,3330.07421875,17.923,25.0,11.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,,1.2872792501657853,18.192525067716726,19.979326117773077,22.933132241924262,20.633020326012286,2.3001119159119767,2.3001119159119767,17.02,17.0674,19.878323
