observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,V,2,15.63,15.6774,19.47694,P0303670101OMS006SIMAGE1000.FTZ,N
0303670101,Seeligeria,215.06903,6.657949,215.11058,6.594688,V,2,15.63,15.6774,19.47694,P0303670101OMS404SIMAGE1000.FTZ,Y
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,V,2,18.26,18.3074,19.94768,P0744490401OMS406SIMAGE2000.FTZ,N
0744490401,Gurzhij,338.88007,-12.779612,339.32846,-12.523151,V,2,18.26,18.3074,19.94768,P0744490401OMS411SIMAGE2000.FTZ,N
0670120401,Chrisclark,343.588,-17.584646,343.6382,-17.397612,V,2,18.13,18.1774,19.782831,P0670120401OMS006SIMAGE1000.FTZ,Y
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,V,3,19.01,19.0574,19.20407,P0691840101OMS402SIMAGE1000.FTZ,N
0691840101,Guericke,333.35062,-17.186514,333.76288,-16.972826,V,3,19.01,19.0574,19.20407,P0691840101OMS401SIMAGE1000.FTZ,N
0793183801,Pluto,290.5976,-21.208502,290.59418,-21.210587,V,2,14.66,14.7074,19.166199,P0793183801OMS050SIMAGE0000.FTZ,Y
